,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3
0,TZ4x0TUE5cIjwH2Qk6VJRQ,bembé-brooklyn-2,Bembé,https://s3-media3.fl.yelpcdn.com/bphoto/VNdTMd1ibVb07QumQSxTQg/o.jpg,False,https://www.yelp.com/biz/bemb%C3%A9-brooklyn-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,497,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}]",4.0,"{'latitude': 40.7110261023422, 'longitude': -73.9651918794702}",[],$$,"{'address1': '81 S 6th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['81 S 6th St', 'Brooklyn, NY 11249']}",+17183875389,(718) 387-5389,2138.382582095899,What's not to love about Bembe? On a Tuesday night it's packed and everyone is dancing. With a mix of music from soca to reggaeton and African it's the...,"Hole in the way joint. Music was bumping when I went, might have been reggae night when I stepped in. A nice setup inside. Many comfortable couches,...","Great music but tiny space. 
I felt claustrophobic at some point.  I wish they had bigger space and more air."
1,4ruGQrxkRfZSFkrCSrJYSw,the-rosemont-williamsburg,The Rosemont,https://s3-media1.fl.yelpcdn.com/bphoto/kAQD0KJaODojEUALuTOZHw/o.jpg,False,https://www.yelp.com/biz/the-rosemont-williamsburg?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,42,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'gaybars', 'title': 'Gay Bars'}]",4.5,"{'latitude': 40.707176, 'longitude': -73.947448}",[],$$,"{'address1': '63 Montrose Ave', 'address2': '', 'address3': '', 'city': 'Williamsburg', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['63 Montrose Ave', 'Williamsburg, NY 11206']}",+13479873101,(347) 987-3101,664.7281259527056,"The entire bar feels like a family. The staff are super kind and welcoming. A safe queer space!!!! 
I was there a few weeks ago and a woman was assaulted by...","The Rosemont prides itself on being Brooklyn's best LGBTQ+ bar yet their actions say different. Two weeks ago, I was a victim of a hate crime at the venue...","A friend mentioned this place so we decided to give it a try. Dimly lit with good music playing in the background. 
Interesting mix crowd here everyone from..."
2,MVyhLMe2xgM2ndcwIkyQkw,featherweight-brooklyn,Featherweight,https://s3-media3.fl.yelpcdn.com/bphoto/BtmA7MLaOFTn2_p2sWfu4A/o.jpg,False,https://www.yelp.com/biz/featherweight-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,134,"[{'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.7063167, 'longitude': -73.9432119}",[],$$,"{'address1': '135 Graham Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['135 Graham Ave', 'Brooklyn, NY 11206']}",+16462570946,(646) 257-0946,439.68951582743574,This review are for visits made prior to current COVID-19 restrictions ( PLEASE STAY HOME and SLOW THE SPREAD): I went here to start off a long night of bar...,"Maybe my friends and I are stupid, but we found this place extremely difficult to find. Which I get is the whole point, so good job, Featherweight, you get...","This First date got me feeling like:


https://www.youtube.com/watch?v=4FFxmGNvjwY   


When I asked this Gentleman to come to Williamsburg, he picked this..."
3,LfT7DQvlY5ugSkBkrO8_mA,wonderville-brooklyn,Wonderville,https://s3-media4.fl.yelpcdn.com/bphoto/JCe3hziJzGFxMfGgXCQhaw/o.jpg,False,https://www.yelp.com/biz/wonderville-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,10,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",5.0,"{'latitude': 40.69245, 'longitude': -73.92751}",[],,"{'address1': '1186 Broadway', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1186 Broadway', 'Brooklyn, NY 11221']}",,,1691.276691905966,"This place is incredible! Why go to barcarde? This is so much cooler and the crowd who attends are super-friendly. 

The Killer Queen bee game in...","Nostalgia on a bean! Loved the fun, whimsical atmosphere. A Great beer selection and chill vibes. Came here for a free comedy showed and loved it. Played...","Cool spot. All indie arcade games, so a bunch of one-of-a-kinds and one offs. Also Killer Queen and Black Emperor! Other faves: Particle Mace, Wobble..."
4,soxVPzLIWTRsViMr5E-nSA,buntons-world-famous-new-york,Bunton's World Famous,https://s3-media2.fl.yelpcdn.com/bphoto/2V0jh-n9CLHsfDj9ZxPsnA/o.jpg,False,https://www.yelp.com/biz/buntons-world-famous-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,24,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 40.69606, 'longitude': -73.93334}",[],,"{'address1': '1005 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['1005 Broadway', 'New York, NY 11211']}",+17187584474,(718) 758-4474,1049.644447870777,"So... Long story short. We had decided to stay in for NYE and then last minute decided to step out for some low-key drinks. As we were in BK, we stopped by...","Been here two times. Once on a date, another time with a friend. The vibe in here is good for both lol.

There's also a DJ/good music playing here. A mix of...","The best piñA Coladas I've had in Brooklyn ! Don't ever change them 
Great bar 
Great music great vibe ! 
Nice staff"
5,XjKaW-3w7v0fGQJzIZg0cQ,house-of-yes-brooklyn,House of Yes,https://s3-media3.fl.yelpcdn.com/bphoto/sUIXjB48Y020A0wr9R0WNw/o.jpg,False,https://www.yelp.com/biz/house-of-yes-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,296,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 40.70686, 'longitude': -73.92353}",[],$,"{'address1': '2 Wyckoff Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['2 Wyckoff Ave', 'Brooklyn, NY 11237']}",+16468384973,(646) 838-4973,1657.7995456886372,"What a show!
What a venue!
This place is just so glittery and sparkly and all around fabulous! Too bad I wasn't able to get more pics of the inside!
Came...","What a nice, down-home venue! Lots of hippie and Burner stuff happening here. Sometimes Daybreaker also happens here. It's everything you would expect from...","This is a really, really fun venue. 

Most events are themed and people tend to wear terrific costumes. I've been here for several parties and always have a..."
6,K2fPgVQF2Ao04sdc5ajN8w,duckduck-bar-brooklyn,duckduck bar,https://s3-media4.fl.yelpcdn.com/bphoto/MkImRkxKxRqjNzJ_zLyP7w/o.jpg,False,https://www.yelp.com/biz/duckduck-bar-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,232,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",4.0,"{'latitude': 40.7074988047929, 'longitude': -73.9427649602294}",[],$,"{'address1': '153 Montrose Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['153 Montrose Ave', 'Brooklyn, NY 11206']}",+13477991449,(347) 799-1449,556.2632742290032,"Waiting for Win Son dinner Friday.

My lover got to the area before me so he found a dive bar to his liking. It was airy and spacious, which I liked and...",I came here on the Thursday night before Halloweekend. I wasn't expecting a full house but at the same time I also didn't expect how many people actually...,"Hot spiced cider is great here. This bar is a chill spot with a causal interior, it's also pretty big if your rolling through with the homies. There's..."
7,lcqH_6lh3SuwDZKErLmZXg,bossa-nova-civic-club-brooklyn,Bossa Nova Civic Club,https://s3-media1.fl.yelpcdn.com/bphoto/MLC2zYFBZlvgeBWzxRzoPQ/o.jpg,False,https://www.yelp.com/biz/bossa-nova-civic-club-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,113,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 40.6979738, 'longitude': -73.9279654}",[],$$,"{'address1': '1271 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1271 Myrtle Ave', 'Brooklyn, NY 11221']}",+17184431271,(718) 443-1271,1320.9050086183036,I love this club and have been going there for years. I'm giving it a 5 star because its an amazing club that is chill and serves up great music and...,"The 2 stars is literally only for the bouncers outside. They're dicks. Rude, intimidating on purpose and jackasses to the wrong people. I get you need to...",Amazing place to relax and wind down. Met a lot of people here. Definitely loved the environment and the water tasted so good.
8,uMZam4F-baqSokjy7pw5ZA,rise-radio-brooklyn,Rise Radio,https://s3-media2.fl.yelpcdn.com/bphoto/hVg8wASkz8ZaKfHbm8Q4yg/o.jpg,False,https://www.yelp.com/biz/rise-radio-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,4,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'pubs', 'title': 'Pubs'}]",5.0,"{'latitude': 40.7034462146096, 'longitude': -73.9427331010331}",[],,"{'address1': '57 Graham Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['57 Graham Ave', 'Brooklyn, NY 11206']}",,,107.6584063287697,Excellent place all around. Perfect space to host an event or even just come for a cup of coffee. This is the home for creatives and the people that work...,After years of running a dj centered podcast and inter/national fashion stores  the owners decided to establish locally. Right there between Bushwick and...,"This place is 10/10 for staff, coffee, and vibes. The interior is so dope and has a great patio too. It works well for both day and night. Can't wait to go..."
9,9FnH4XwW2SNPztHg49ISyg,rebeccas-brooklyn,Rebecca's,https://s3-media2.fl.yelpcdn.com/bphoto/-IIMZWeJBCo8HN5JSFv5Fg/o.jpg,False,https://www.yelp.com/biz/rebeccas-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,14,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 40.6981613, 'longitude': -73.9340956}",[],$,"{'address1': '610 Bushwick Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['610 Bushwick Ave', 'Brooklyn, NY 11206']}",+13472409899,(347) 240-9899,841.119198372246,"I came here after driving past in an uber. Its walking distance and figured I'd check it out. First of all, the DJ (DJSim card) was spinning some sick...",I went to Rebecca's one time with a couple of my friends and we were able to secure the couch in the front which was great because there was a large group...,"Yeah. This is some good shit.
Had the task of planning my friend's birthday crawl, so I snuck this one in there for me. Why? Well.

Vaporwave. 

God the..."
