,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price,rev1,rev2,rev3
0,CM_FxpXFWB06PquGm6nvrA,boss-tweeds-new-york-3,Boss Tweed's,https://s3-media3.fl.yelpcdn.com/bphoto/72jiiLcfzdLltp62KOmHcg/o.jpg,False,https://www.yelp.com/biz/boss-tweeds-new-york-3?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,1,"[{'alias': 'lounges', 'title': 'Lounges'}]",1.0,"{'latitude': 40.7195319911068, 'longitude': -73.9880178496242}",[],"{'address1': '115 Essex St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['115 Essex St', 'New York, NY 10002']}",+12124759997,(212) 475-9997,385.14109932927926,,I guess they rebranded in an attempt to be chic. But if the same owners my advice is to avoid this place like the plague. Terrible pretentious bartenders...,No Review,No Review
1,0GN6l4FAknTFSWZhEan45A,gunbae-new-york,GunBae,https://s3-media2.fl.yelpcdn.com/bphoto/KxkF-jXz-aUw2B9ghw6Ytg/o.jpg,False,https://www.yelp.com/biz/gunbae-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,283,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.0,"{'latitude': 40.714683, 'longitude': -74.010223}","['delivery', 'restaurant_reservation', 'pickup']","{'address1': '67 Murray St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['67 Murray St', 'New York, NY 10007']}",+12123212500,(212) 321-2500,2094.1669932870927,$$,We've gone to Gunbae a few times before the epidemic and always enjoyed their great food with our kids and friends.  It's a treat to get Korean BBQ downtown...,Came here on a Monday night and it wasn't super busy (as expected). Only waited 5-10 minutes for a table of 3 to be ready and the hostess is super friendly....,"I've only been to a few kbbq spots in NYC so far so I don't have a ton to compare it to, but I had a generally positive experience at GunBae. The food was..."
2,3gbN7EcImU1Ltf4XkWoSeg,international-bar-new-york-2,International Bar,https://s3-media3.fl.yelpcdn.com/bphoto/gziyNhoaFFSFAaEjWynF1w/o.jpg,False,https://www.yelp.com/biz/international-bar-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,25,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",3.5,"{'latitude': 40.72643, 'longitude': -73.98581}",[],"{'address1': '102 1st Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['102 1st Ave', 'New York, NY 10009']}",+12127771643,(212) 777-1643,1099.0188648589135,$,A classic reborn - have always loved thiS place so happy it's open again. Nice cheap spot. Got harassed by some drunk  guy and the bartender did nothing...,"Before leaving this review, I had to read other reviews to make sure I just didn't have an ""unlucky day"", but nope, clearly I'm not the only one who has had...","International Bar has grown on me the older I've gotten.
Now in my regular rotation, it's definitely a bar that you have to be ready for. It's a..."
3,wcwftlB-61XG4ymGTR61aw,sakamai-new-york,SakaMai,https://s3-media3.fl.yelpcdn.com/bphoto/E4G_T1C9Y5_7L0L2WD7Lsg/o.jpg,False,https://www.yelp.com/biz/sakamai-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,670,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 40.7209536656701, 'longitude': -73.9881407239426}","['pickup', 'delivery']","{'address1': '157 Ludlow St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['157 Ludlow St', 'New York, NY 10002']}",+16465900684,(646) 590-0684,529.1943506269101,$$$,Thumbs up for Sakaimai for providing such delicious delivery during this pandemic! I've never been to sakaimai before so I was unfamiliar with the dishes...,"Wanted to treat myself to a solo dinner and definitely chose the right place! I usually don't give 5 stars, but SakaMai deserves it... the food here is...",Came for a splurgy dinner with my husband for his birthday. Walked in at 6pm without reservations on a friday night and had no problems getting seated....
4,iFvDZ-vNGbeAbpFaMnhW2A,nowhere-new-york,Nowhere,https://s3-media3.fl.yelpcdn.com/bphoto/W8h_pE-_M8fS02aiHiORHg/o.jpg,False,https://www.yelp.com/biz/nowhere-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,133,"[{'alias': 'gaybars', 'title': 'Gay Bars'}]",3.5,"{'latitude': 40.73171, 'longitude': -73.98417}",[],"{'address1': '322 E 14th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['322 E 14th St', 'New York, NY 10003']}",+12124774744,(212) 477-4744,1680.23385715024,$,"Best queer bar in the city, and probably one of the best of all time in NYC. 

Basics: cheap drinks, quick, friendly bartenders with great personalities....",My husband & I stayed in NY for Labor Day weekend and one of the places we kept going back to was Nowhere. Sonny the bartender was wonderful - he's so down...,"The bartender with the beard rudely snatched money from my hands, when I simply asked if there were change machines for the pool machine. When he came back,..."
5,PqqnNrUtU7XTKQvUM4cyqQ,bar-verde-new-york,Bar Verde,https://s3-media2.fl.yelpcdn.com/bphoto/ShI6EBUCkL4uEfnfaz9m8A/o.jpg,False,https://www.yelp.com/biz/bar-verde-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,240,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.7260849061034, 'longitude': -73.9897361397743}","['pickup', 'delivery']","{'address1': '65 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['65 2nd Ave', 'New York, NY 10003']}",+12127776965,(212) 777-6965,1110.0549415840471,$$,"WOW. I'm shook. 

This place is amazing. The cocktails are bomb and all of the food was delicious. We ordered four dishes for sharing: guac and chips,...","Came here for a group brunch. It has a good vibe and the staff was very friendly and helpful, but I wasn't impressed with the food.

The start and the end...","I liked this place for an easy night out downtown with the friends. Vegan Mexican food doesn't initially sound like it's a hit for everyone, but the food is..."
6,BglFB3mkuo_PVtxdok4v3A,vinegar-hill-house-brooklyn,Vinegar Hill House,https://s3-media3.fl.yelpcdn.com/bphoto/sU9bCv8YupLBXPTU4e3b4Q/o.jpg,False,https://www.yelp.com/biz/vinegar-hill-house-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,665,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 40.70275, 'longitude': -73.98124}",[],"{'address1': '72 Hudson Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['72 Hudson Ave', 'Brooklyn, NY 11201']}",+17185221018,(718) 522-1018,1583.512397951933,$$$,"I cannot believe I never posted a review until today because Vinegar Hill House is my (and my husband's) absolute favorite restaurant. For years now, it's...","On a beautifully chilly Saturday morning we decided to venture to Vinegar Hill, Brooklyn. Upon walking in your greeted by the hostess asking for...","Cosy interior, friendly service. This place had never been on my list to eat, but apparently it was a trendy spot to go to a few years ago, and one of my..."
7,4M09aYCdLV_aiUOVdIxzpA,29rooms-greenpoint,29rooms,https://s3-media3.fl.yelpcdn.com/bphoto/d0JQebFUEDbHUVxGWRkRaA/o.jpg,False,https://www.yelp.com/biz/29rooms-greenpoint?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,3,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'galleries', 'title': 'Art Galleries'}]",2.5,"{'latitude': 40.7325509, 'longitude': -73.9609495}",[],"{'address1': '15 Huron St', 'address2': '', 'address3': '', 'city': 'Greenpoint', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['15 Huron St', 'Greenpoint, NY 11222']}",,,2753.713005377334,$$,"Open Fri-Sat (9/11-9/12) 12-8pm.  Free!  Parking found on streets nearby.

Fun interactive art rooms inside a warehouse in Greenpoint.  Great for the...","I was excited to check this place out. Amateur planning. It didn't even state the time for last entry. I was ""turned away"" before the closing. Come on, this...",Very disappointed that this venue was only open for 3 days. Places like this should be open for longer so everyone has an opportunity to check it out.
8,R5jpETY0OshPn-AeJjs0fA,dos-caminos-new-york-4,Dos Caminos,https://s3-media3.fl.yelpcdn.com/bphoto/0Q_W1gcSGPL93_Nl2I9MSQ/o.jpg,False,https://www.yelp.com/biz/dos-caminos-new-york-4?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,1065,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",3.5,"{'latitude': 40.7266452, 'longitude': -73.9999024}","['pickup', 'delivery']","{'address1': '475 W Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['475 W Broadway', 'New York, NY 10012']}",+12122774300,(212) 277-4300,1645.4066592606414,$$,A dimly lit but bustling place that was good for a quick bite and seems well suited to groups. I came by myself on a Thursday evening and got seated at a...,"I hate to give a bad rating, but the empanadas de platano I ordered to go for my bf were beyond disappointing.  Honestly the portions seemed alright as...",I went to this dos caminos location on Friday night for dinner and halfway through the meal the table next to us started freaking out because they saw a...
9,kxn7eNaa0MLT9-MAfORCtA,the-monster-new-york-2,The Monster,https://s3-media4.fl.yelpcdn.com/bphoto/UAhxkxgqxb9EmUWtSrxYIg/o.jpg,False,https://www.yelp.com/biz/the-monster-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,180,"[{'alias': 'gaybars', 'title': 'Gay Bars'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]",3.5,"{'latitude': 40.73341, 'longitude': -74.002098}",[],"{'address1': '80 Grove St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['80 Grove St', 'New York, NY 10014']}",+12129243558,(212) 924-3558,2330.6280953595183,$$,This is great place to party and have a heck of a good time! If you wants drinks that are not to expensive and really made well. You will meet interesting...,"Went here completely randomly and had so much fun. Another gem I'm surprised I've never been to considering it's in my neighborhood.

I really appreciated...","What a night it was!
We arrived 11:50 pm Saturday night, but by the time we got to the entrance, it was 12 am. I explained that we technically did arrive..."
