,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3,hours
0,6QbDkxmiCl-d7MUXIdhBsA,gun-hill-tavern-new-york,Gun Hill Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/tsi0cBr7E2VsQN6-Cdrwrw/o.jpg,False,https://www.yelp.com/biz/gun-hill-tavern-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,72,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.810612, 'longitude': -73.928371}","['delivery', 'pickup']",$$,"{'address1': '2515 3rd Ave', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['2515 3rd Ave', 'New York, NY 10451']}",+17184020808,(718) 402-0808,3954.4564860809687,"The tavern burger and French fries are absolutely amazing. Staff was respectful and they have open trivia nights open to the public.  
I don't know how I...","Came here for the first time this past Saturday when I dropped my car off at the mechanic down the street and was pleasantly surprised to find this tavern,...",This is a small and cute place for a quick bite! The meat of the burger and chicken wings were very tender and juicy! The gun punch actually surprised me! I...,"[{'open': [{'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
1,eGfpa9r0aGtN3V8ZwgaOEw,the-supply-house-new-york-2,The Supply House,https://s3-media2.fl.yelpcdn.com/bphoto/g5Jb_WclZoF8uLfqeCmWFQ/o.jpg,False,https://www.yelp.com/biz/the-supply-house-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,342,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.7775579, 'longitude': -73.9521892}",[],$$,"{'address1': '1647 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1647 2nd Ave', 'New York, NY 10028']}",+16468613585,(646) 861-3585,3844.7111904612166,"This place is an institution. The bartenders are absolutely incredible, I feel at home here. They have great bar food and all of the drinks are made with...","I agree with the other reviewers about the poor service of the bartenders. Some here are fine. But others are not. 

Twice (on two different nights -- both...","Came here for a Friday after work mixer. Was told happy hour, but didn't notice any happy hour prices.

Drink service was lacking. No reason I should have...","[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
2,qw5V0wE3KVq0vSbYu4ozZg,adar-cafe-and-lounge-new-york-2,A'dar Cafe & Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/weP_FgYVNxqlaL053_NAmQ/o.jpg,False,https://www.yelp.com/biz/adar-cafe-and-lounge-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,31,"[{'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,"{'latitude': 40.7989922, 'longitude': -73.9431}","['delivery', 'pickup']",$$,"{'address1': '1637 Park Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1637 Park Ave', 'New York, NY 10029']}",+12129962327,(212) 996-2327,3789.1794240107165,one of the best hookah bar.  very inviting great atmosphere . drinks are great hookah done great prices are just right fitting my budget. i love to go after...,"A place I call home.

Drinks are great. The atmosphere is better. The food is majestic. The highlights are the seasoning on the chicken kebab and the...","This place has so much potential, in my opinion. I love that it was kind of smaller and could be somewhat intimate. However, the hookah sucked! The pull was...","[{'open': [{'is_overnight': True, 'start': '1630', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1630', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1630', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1630', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1630', 'end': '0130', 'day': 4}, {'is_overnight': True, 'start': '1630', 'end': '0130', 'day': 5}, {'is_overnight': True, 'start': '1630', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
3,WOM056rBZ5ZcDyzcC9hpsA,harlem-repertory-theatre-new-york,Harlem Repertory Theatre,https://s3-media4.fl.yelpcdn.com/bphoto/Mp2pAQkF30JLv02qYpvr-A/o.jpg,False,https://www.yelp.com/biz/harlem-repertory-theatre-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,13,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",4.0,"{'latitude': 40.801371, 'longitude': -73.935097}",[],,"{'address1': '240 E 123rd St', 'address2': 'Fl 2', 'address3': '', 'city': 'New York', 'zip_code': '10035', 'country': 'US', 'state': 'NY', 'display_address': ['240 E 123rd St', 'Fl 2', 'New York, NY 10035']}",+19176973555,(917) 697-3555,3454.515075480374,"We really enjoyed being in the Heart of Harlem experiencing community theater. Jamaica was delightful, funny and touched upon relevant issues like class,...","Every year I send my Mother, Grandmother and Aunt to a show for Christmas, this year when I was looking for a show at the Apollo again, I was unable to find...","Just finish attending Lin-Manuel Miranda's musical In The Heights. A amazingly beauty story of roots, culture, family, tradition, community, neighborhood,...","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
4,I16AKU3myQ68O40fWCeIGQ,made-in-puertorico-bar-and-lounge-bronx,Made in PuertoRico Bar & Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/mPhMrbzgKgaUFKCjcUTshw/o.jpg,False,https://www.yelp.com/biz/made-in-puertorico-bar-and-lounge-bronx?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,42,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",1.5,"{'latitude': 40.80701, 'longitude': -73.92829}","['delivery', 'pickup']",$$,"{'address1': '26 Bruckner Blvd', 'address2': '', 'address3': None, 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['26 Bruckner Blvd', 'Bronx, NY 10454']}",+13472714902,(347) 271-4902,3590.586334950202,"I was there for the first time for
My friends bday celebrating and it was great. The food was on point and don't forget to mention the fishbowl drinks. The...","I was hesitant (and truthfully, prepared for the worst) after reading the Yelp reviews and seeing that Made In PR was only rated 1.5 stars...Thankfully, I...",Very disappointed with the service I received. The place is nice but the customer service IS horrible..  I ordered a coconut mojito and it tasted like soda...,"[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0300', 'day': 5}, {'is_overnight': False, 'start': '1400', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
5,ggZczl_F-L4FvZk3jpNR3Q,five-mile-stone-new-york,Five Mile Stone,https://s3-media2.fl.yelpcdn.com/bphoto/a7c5ZqnIw6PWqIDKo_sDyQ/o.jpg,False,https://www.yelp.com/biz/five-mile-stone-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,429,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 40.7772804, 'longitude': -73.9519665}",[],$$,"{'address1': '1640 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1640 2nd Ave', 'New York, NY 10028']}",+12129330913,(212) 933-0913,3827.501363448123,"I've dined here a few times after my shopping trips. Each visit has been pleasant. I'm a big fan of their brunch items - everything is delicious.

Staff is...","COME HERE IF YOU LIKE THE DJ EAGERLY TAKING YOUR REQUESTS AND THEN NOT FOLLOWING THROUGH. Its ok, im not bitter, ive been lied to before... 
 
2AM CLUB...","Really good bar in the area. Very impressive beer selection, and much better food than it gets credit for. Been several times for breakfast, and lunch....","[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,ZgU1Jmw9Itx_bEveDXtiFA,jacksons-eatery-bar-long-island-city-2,Jackson's Eatery | Bar,https://s3-media4.fl.yelpcdn.com/bphoto/5slF0kRjDLksk51ila2lJw/o.jpg,False,https://www.yelp.com/biz/jacksons-eatery-bar-long-island-city-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,232,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.74241, 'longitude': -73.95323}","['delivery', 'pickup']",$$,"{'address1': '10-37 Jackson Ave', 'address2': None, 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['10-37 Jackson Ave', 'Long Island City, NY 11101']}",+13476491721,(347) 649-1721,5665.163492587601,It's always a joy to wine and dine at this venue. I hosted a retirement party here last spring and have been here frequently ever since. I consider this my...,"Nice and interesting place for brunch.

Stopped by Jackson's Eatery Bar with a buddy, that recently moved into LIC, to catch up. Enjoyed almost everything...","What a gem! 

This a very cute spot to stop in for brunch, big windows, outdoor seating, lovely ambiance. 

The food was fantastic, I had a spicy chicken...","[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
7,OVfoGLeaMgW381i9YLlD0Q,the-skillman-sunnyside,The Skillman,https://s3-media1.fl.yelpcdn.com/bphoto/0jT9mVDcz4gRFael8eTRyQ/o.jpg,False,https://www.yelp.com/biz/the-skillman-sunnyside?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,52,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.7463976, 'longitude': -73.9181856}","['delivery', 'pickup']",$$,"{'address1': '45-20 Skillman Ave', 'address2': '', 'address3': None, 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['45-20 Skillman Ave', 'Sunnyside, NY 11104']}",+17184069048,(718) 406-9048,3766.4743881198738,Montefiore's (Weiler campus) operating room & now critical care team would like to thank you and the rest of your staff for the generous food donation....,"Been here a few times now and always great.  

Food is excellent.  We've been there for lunch and dinner.  Burgers well seasoned and cooked as ordered....","I ordered delivery from The Skillman. I know we're in hard times right now during this quarantine so I'm very sorry to have to write this, but what kind of...","[{'open': [{'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
8,-8rAF46eKHWeYXoZAWDfuQ,maguires-public-house-woodside,Maguire's Public House,https://s3-media1.fl.yelpcdn.com/bphoto/xEGe6XCJEHDUUxSZAA9P9Q/o.jpg,False,https://www.yelp.com/biz/maguires-public-house-woodside?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,12,"[{'alias': 'bars', 'title': 'Bars'}]",2.5,"{'latitude': 40.7447592169046, 'longitude': -73.9102368056774}",[],$$,"{'address1': '54-20 Roosevelt Ave', 'address2': '', 'address3': '', 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['54-20 Roosevelt Ave', 'Woodside, NY 11377']}",+17184299426,(718) 429-9426,3827.591913597275,Stinky bar that  flies the Palestine flag instead of American or Irish why???? I guess owner does not want anyone who supports Israel to buy drinks there so...,"Stay away! 
Please do not call this place an"" Irish bar"".  it gives the Irish who are fair, fun,and faithful,a bad name.  And to the unsuspecting, a poor...","Stoped in for a pint. Best beer in Queens. Played pool, great music, down to earth bar tenders. Good vibes all around.",
9,doBm7WkYKNG-KRExevrRtA,dtut-new-york,DTUT,https://s3-media3.fl.yelpcdn.com/bphoto/gzCYB4N6VQzAA_7juBVXOw/o.jpg,False,https://www.yelp.com/biz/dtut-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,492,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,"{'latitude': 40.7808542200993, 'longitude': -73.949341175468}","['delivery', 'pickup']",$,"{'address1': '1744 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['1744 2nd Ave', 'New York, NY 10128']}",+12124106449,(212) 410-6449,3606.1720044114577,"I loved this place! I went here my last weekend before the quarantine started! I had an amazing night with my sister playing, drinking, and having fun! The...",DTUT is the upper east side's best kept secret. This cozy neighborhood bar is so warm and welcoming. You can go during the day for coffee and at night for...,Quick recap: this is  a coffee lounge. You know what you're getting except this place also has alcohol. Quiet ish spot with chairs and sofas too sit in....,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '0900', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
