,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price,rev1,rev2,rev3,hours
0,3Wn2thSXeUQ2AmTYOeVnfg,chimi-mundo-brooklyn-2,Chimi Mundo,https://s3-media2.fl.yelpcdn.com/bphoto/0Hz2iukBYd4k3YBeP2G-qQ/o.jpg,False,https://www.yelp.com/biz/chimi-mundo-brooklyn-2?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,9,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}]",3.0,"{'latitude': 40.6949420741481, 'longitude': -73.9115872979164}","['pickup', 'delivery']","{'address1': '664 Knickerbocker Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['664 Knickerbocker Ave', 'Brooklyn, NY 11221']}",+13472953600,(347) 295-3600,1450.6363002458545,,Everything was awesome and fast I love this play would definitely order again.. Food was still hot and they got it all right I would recommend it with no...,I even told them it was my first time eating there and they still gave me this paper thin tasteless cheesesteak. The Cubano wasn't bad.,Someone told me to check this place and that their Chimikeke were the best. A Chimikeke is a Chimichurry- Janikeke marriage. They combined this 2 popular...,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0700', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0600', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0700', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0600', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '0700', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0600', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '0700', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0600', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '0700', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0600', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '0700', 'day': 5}, {'is_overnight': True, 'start': '1600', 'end': '0600', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '0700', 'day': 6}, {'is_overnight': True, 'start': '1600', 'end': '0600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
1,UCtGrXXIB9sdwwDl_1pvqw,el-coqui-bar-and-billiards-queens,El Coqui Bar & Billiards,https://s3-media3.fl.yelpcdn.com/bphoto/Ub8CQQ34FgSXW8uRDP6HnA/o.jpg,False,https://www.yelp.com/biz/el-coqui-bar-and-billiards-queens?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,6,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]",3.0,"{'latitude': 40.700136, 'longitude': -73.91033}",[],"{'address1': '54-19 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Queens', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['54-19 Myrtle Ave', 'Queens, NY 11385']}",+19293884808,(929) 388-4808,1742.0677799937837,,"My Cuzzo had her birthday celebration here. There is no elevator, so you had a chance to get your zumva groove on up those steps. There was only 1 bartender...","What kind of business are you running? Yelp says it opens at 3pm but come to find out it opens at 5pm. Maybe that's a glitch, I'll give you that much...","THE BEST!
 Love this spot! Im here about once or twice a week...Wish Id be here more often
Great location, affordable drinks! Online Juxebox whoopwhoop","[{'open': [{'is_overnight': True, 'start': '1515', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1515', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1515', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1515', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1515', 'end': '0345', 'day': 4}, {'is_overnight': True, 'start': '1515', 'end': '0345', 'day': 5}, {'is_overnight': True, 'start': '1515', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
2,yda-LGUVsP2UJcVQ8f_Fag,goodlife-bk-brooklyn,GoodLife BK,https://s3-media4.fl.yelpcdn.com/bphoto/ODvFBgc7cAV686PD1AkpvA/o.jpg,False,https://www.yelp.com/biz/goodlife-bk-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,11,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.5,"{'latitude': 40.67692, 'longitude': -73.96376}",[],"{'address1': '706 Washington Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['706 Washington Ave', 'Brooklyn, NY 11238']}",,,3453.966009429889,$$,"Really cute vibe/aesthetic inside, good music and decent sounding list of cocktails -- only didn't wind up trying one because the bartender was so...","Sooooooo, my second time here and I'm just as happy as the first. As a matter of fact, Ode is one of my favorite places and GoodLife is turning out to be a...","Round 2. We've all been waiting for the sisters of Ode to Babel (down the road) to hit us with another platform. Creatives, designers, dreamers... come to...",
3,3gZcnnR_DAVzKcWiRKsykw,st-ends-brooklyn,St Ends,https://s3-media1.fl.yelpcdn.com/bphoto/5b1DHq8j-6S87EAK--BXNA/o.jpg,False,https://www.yelp.com/biz/st-ends-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,36,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.67568, 'longitude': -73.95601}",[],"{'address1': '667 Franklin Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['667 Franklin Ave', 'Brooklyn, NY 11238']}",+13474137558,(347) 413-7558,2992.427068064448,,Bartenders were at times difficult but the management more than made up for it. Latitia is an excellent manager and made the night that much better....,"Meh mainly cuz the lack of service/proper attitude?!?!

I am actually tried of going into a place and the service people have an attitude?!?!?  I just got...","Ok, this place is AWESOME.

Maybe we got lucky with live jazz night (it was Wednesday), but the vibe is so chill. It ticks off a lot of the squares of...","[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
4,U84nYcclkx_LS0kQkCUB9g,the-breakers-brooklyn-2,The Breakers,https://s3-media1.fl.yelpcdn.com/bphoto/B2BPUrGeQQ4sRQloDZRWfQ/o.jpg,False,https://www.yelp.com/biz/the-breakers-brooklyn-2?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,47,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'tacos', 'title': 'Tacos'}]",3.5,"{'latitude': 40.717535, 'longitude': -73.948872}",[],"{'address1': '307 Meeker Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['307 Meeker Ave', 'Brooklyn, NY 11211']}",+17183848900,(718) 384-8900,3245.967467489492,,"Popped into breakers for the first time the other night, I just moved to the neighborhood and the neon glow has been calling me in. I came to find it was...","I've only been here once, but I can already day this is one of my favorite spots in BK. 

The atmosphere and decor is awesome. They have an indoor, outdoor...",I love the indoor/outdoor thing here. The decorating choices are a lot but they're distinct and I think it works! The draft cocktails are not completely my...,"[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
5,3PxZTVc4bJmZS5wAh_fdIw,cafe-erzulie-brooklyn,Cafe Erzulie,https://s3-media4.fl.yelpcdn.com/bphoto/9dQUzJRFAKlpD8c8-Yx9RA/o.jpg,False,https://www.yelp.com/biz/cafe-erzulie-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,61,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.6979, 'longitude': -73.93716}",[],"{'address1': '894 Broadway', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['894 Broadway', 'Brooklyn, NY 11206']}",+17184503255,(718) 450-3255,926.1169524378607,$,My friend and I were visiting Brooklyn and I happened to stumble into this little gem in Brooklyn. Be forewarned that there is a brilliant plant shop in the...,"This place might be good after noon or for night, but my review is for anyone who is looking for quick nice comfy breakfast.

I have a pet peeve, and it's...","Popped in on a weekday to get some work done and I was disappointed with this space. First, it was surprisingly loud for a Tuesday afternoon - not ideal...","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1830', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,casZCgip-6QX5PJ3IlDiLQ,zeke-brooklyn,Zeke,https://s3-media4.fl.yelpcdn.com/bphoto/tr8JmtqlST9lGr_dE3kxHg/o.jpg,False,https://www.yelp.com/biz/zeke-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,12,"[{'alias': 'bars', 'title': 'Bars'}]",5.0,"{'latitude': 40.6797559976414, 'longitude': -73.9427579194307}",[],"{'address1': '1452 Fulton St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['1452 Fulton St', 'Brooklyn, NY 11216']}",,,1876.2937986060317,,"I haven't been to Zeke yet, but I definitely will when this lockdown is over since it looks like my kind of bar! This review is for Nha Ban, the Vietnamese...","Great atmosphere, friendly staff, nice relaxing vibe. They even have a nice pop-up Korean or Vietnamese restaurant. I am glad they opened up. I go when I...",The bartender janneth was a such a sweet heart she told us it will b a vietnamese spot in another week because they actually just opened thursday but let me...,
7,XpI3RKcvVRyE5IDzZAbH4w,kiki-and-romeo-brooklyn-3,Kiki & Romeo,https://s3-media4.fl.yelpcdn.com/bphoto/XCSdcoTrs88zG9qNbqNhqQ/o.jpg,False,https://www.yelp.com/biz/kiki-and-romeo-brooklyn-3?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,6,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]",5.0,"{'latitude': 40.6836737, 'longitude': -73.932573}",[],"{'address1': '558 Halsey St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['558 Halsey St', 'Brooklyn, NY 11233']}",+17189287598,(718) 928-7598,1063.8309909167203,$$,"This is exactly what this neighborhood was missing.
Amazing selection of organic wines, extremely courteous and skilled staff, very reasonable prices.
It...","Wine bar or fermented port in the storm. Either way you look at it, this place has alot to put in the win column. Simple and elegant, this place doesn't...","Kiki & Romeo is a diamond in a sandbox; an out of the way, no-tell destination wine-bar run by soft spoken sommeliers. Caitlin has a profound knowledge of...","[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
8,VP8vdcM7b6Jelfky1t_ttA,alphaville-brooklyn,Alphaville,https://s3-media1.fl.yelpcdn.com/bphoto/vyQN9_blYfsLA2TXnED8zg/o.jpg,False,https://www.yelp.com/biz/alphaville-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,55,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 40.700489, 'longitude': -73.925857}","['pickup', 'delivery']","{'address1': '140 Wilson Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['140 Wilson Ave', 'Brooklyn, NY 11237']}",+13474138801,(347) 413-8801,890.6220557127158,$,Cute spot and cheap drinks. I like their beers on tap (good local ones) and the bartender was really nice! I didn't stay long enough to know more about the...,Dope spot! I love the Nuggets. Everything I could ever want. I have been going here for quite a bit. John is an amazing bartender!,"Alphaville reminds me so much of your typical music/bar venue in Camden Town,London. There's nothing fancy about it. Even wine is served from the can. 
It's...","[{'open': [{'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
9,DKn7z4H9MzmqRlSeftIFag,brown-sugar-club-brooklyn-2,Brown Sugar Club,https://s3-media3.fl.yelpcdn.com/bphoto/CAeRt7q7LeQ5sH0mtfWYsw/o.jpg,False,https://www.yelp.com/biz/brown-sugar-club-brooklyn-2?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,18,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",2.5,"{'latitude': 40.68225, 'longitude': -73.93776}",['pickup'],"{'address1': '433 Marcus Garvey Blvd', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['433 Marcus Garvey Blvd', 'Brooklyn, NY 11216']}",+17185522705,(718) 552-2705,1403.2475330893892,$,"This is the worst venue to rent for an occassion.  Please do not ever give this place your business.  You will be disappointed like I was.

Although the...",I came here for the birthday party of my friend's aunt. I will admit that the music was good and it was nice to walk in without there being a required...,The AC don't work it's a shame people pay so much money for a baby shower and there's no AC and it's 87 degrees outside. The whole baby shower is outside,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
