,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price,rev1,rev2,rev3,hours
0,HEitDtQczlwULqvEM75ovQ,the-water-tower-bar-brooklyn,The Water Tower Bar,https://s3-media3.fl.yelpcdn.com/bphoto/VV5USMlBkalubR0ndwfr4Q/o.jpg,False,https://www.yelp.com/biz/the-water-tower-bar-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,42,"[{'alias': 'bars', 'title': 'Bars'}]",3.5,"{'latitude': 40.7216011, 'longitude': -73.95884}",[],"{'address1': '96 Wythe Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['96 Wythe Ave', 'Brooklyn, NY 11249']}",+17183628100,(718) 362-8100,3961.961488752311,,Let's be real you are coming here for the location & view. It's a cool spot and I would think you might want to try to get there once just to take the...,"I mean the view is incredible, the drinks are good, and the space is awesome. you get charged an absurd amount of money for cocktails, more than some places...",The water tower bar provides an excellent view of the city and the sunset. It is pretty small and doesn't offer a lot of seating so it is best to reserve a...,"[{'open': [{'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
1,RbMC9zD11aB3kgrXi6O3BQ,the-narrows-brooklyn,The Narrows,https://s3-media4.fl.yelpcdn.com/bphoto/qftb7B82M2fWp6zm270BaA/o.jpg,False,https://www.yelp.com/biz/the-narrows-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,179,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 40.704114, 'longitude': -73.930878}",[],"{'address1': '1037 Flushing Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1037 Flushing Ave', 'Brooklyn, NY 11237']}",,,1053.141737075638,$$,"Keith & Joe are very friendly and professional guys! 
I was enjoyed my evening because them .

Great cocktails! 
Great atmosphere! 
Everything you need for...",Went on a Saturday early evening around 5:30pm. Not at all crowded but there were quiet a few people there at the bar. chill place to hang out with a drink....,The kitchen closes at 12. Cute bar with a cozy vibe if you can hear over some the bushwick bro's lol. Friendly bartender with prompt service . Interior is...,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
2,0b219wrHd6Ki8f_Oou-WSQ,brooklyn-comedy-collective-brooklyn,Brooklyn Comedy Collective,https://s3-media2.fl.yelpcdn.com/bphoto/lZZU6FtALX_6vvhNuhJp2Q/o.jpg,False,https://www.yelp.com/biz/brooklyn-comedy-collective-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,3,"[{'alias': 'comedyclubs', 'title': 'Comedy Clubs'}, {'alias': 'dramaschools', 'title': 'Drama Schools'}]",5.0,"{'latitude': 40.7174883, 'longitude': -73.9635118}",[],"{'address1': '58 N 3rd St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['58 N 3rd St', 'Brooklyn, NY 11249']}",+19175933843,(917) 593-3843,4110.402306508921,,I took Milly Tamarez' Stand-Up Class and this is hands down the best Stand Up Class in New York City. Other classes have like 20 people in them and all you...,"Great class, good structure, fun teacher. Good basic intro to doing your own stand-up set",I took Rachel Rosenthal's Level 2 class here and it was amazing! One of the most informative and liberating improv experiences you can ask for. The shows...,"[{'open': [{'is_overnight': False, 'start': '1900', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '1900', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '1900', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1900', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1900', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1830', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
3,Z3qCwMMDCvCZnaqzpbgE1A,baby-grand-brooklyn,Baby Grand,https://s3-media3.fl.yelpcdn.com/bphoto/-xsDuFNuJOsSa17N6o5YLQ/o.jpg,False,https://www.yelp.com/biz/baby-grand-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,11,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.721385, 'longitude': -73.945829}",[],"{'address1': '55 McGuinness Blvd S', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['55 McGuinness Blvd S', 'Brooklyn, NY 11222']}",+13474639106,(347) 463-9106,3054.6614698080807,,"Nice place to chill, get tipsy and sing! They have a ton of choices by artist and by song. Definitely something a person like me can appreciate because I...",They only have ONE Aaron Carter song and it's not even the good one. Not to mention they refused to let me submit a Smash Mouth Classic as an alternative...,Baby Grand is a place in it's own category if I had to describe it. Not your traditional bar in that you're in queue waiting a good while for the bartender...,"[{'open': [{'is_overnight': True, 'start': '1800', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1800', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1900', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1900', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
4,0chzkG1G2SsLOQ6ZtDVSTQ,rough-trade-nyc-williamsburg,Rough Trade NYC,https://s3-media1.fl.yelpcdn.com/bphoto/X53oL1h90DP3-LElPf5SDA/o.jpg,False,https://www.yelp.com/biz/rough-trade-nyc-williamsburg?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,136,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'vinyl_records', 'title': 'Vinyl Records'}]",4.0,"{'latitude': 40.720878, 'longitude': -73.959945}",[],"{'address1': '64 N 9th St', 'address2': '', 'address3': '', 'city': 'Williamsburg', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['64 N 9th St', 'Williamsburg, NY 11249']}",+17183884111,(718) 388-4111,4002.721571282481,$$,This place is absolutely amazing. I live in NJ and used to shitty stores and boring environments. The first thing we notice was this fat little dog running...,I order a ton of vinyl from Rough Trade both in the U.S. and U.K. I had visited the London stores and this was my first visit to the NYC location. First of...,"Love love love this recod store. It's a more pricey than other ones in the area but what's cool about it, you can listen to albums and there's a big section...","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
5,WaNdisNSGLNzn_epZAtHPA,the-windjammer-ridgewood,The Windjammer,https://s3-media4.fl.yelpcdn.com/bphoto/s4WG7v5t3w8IhZ5LX9WwPQ/o.jpg,False,https://www.yelp.com/biz/the-windjammer-ridgewood?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,7,"[{'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.709074, 'longitude': -73.90705}",[],"{'address1': '552 Grandview Ave', 'address2': '', 'address3': '', 'city': 'Ridgewood', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['552 Grandview Ave', 'Ridgewood, NY 11385']}",+17188219779,(718) 821-9779,1153.582550427701,$,"What a weird place!
I came here to see a friend's band, and did not know what was going on when we got there. The front is dive bar through and through. It...",Nice neighborhood bar. The back is especially nice for live music. Love a good game of pool here. Bartenders could be a bit friendlier but I guess that...,Loving the vibe of this place. I came here to watch a friend's show and it's pretty neat that they have a separate room for events. They have a nice...,"[{'open': [{'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,QTiwE2aULtKvDXUCv5pljQ,bootleg-bar-brooklyn,Bootleg Bar,https://s3-media2.fl.yelpcdn.com/bphoto/UyUH5_qKfBmaHkBlB2o1TA/o.jpg,False,https://www.yelp.com/biz/bootleg-bar-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,43,"[{'alias': 'bars', 'title': 'Bars'}]",3.5,"{'latitude': 40.6987461, 'longitude': -73.9172858}",[],"{'address1': '1438 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1438 Myrtle Ave', 'Brooklyn, NY 11237']}",+13477156307,(347) 715-6307,527.6315441249103,$,Took my gf here as recommended  by though a friend. Perfect dive bar. I liked the live . Back patio is pretty dope too. Hidden Gem.,"My favorite bar in Bushwick! Bootleg just off Knickerbocker -- enough that you kind of have to go with a purpose, which is great if, like I was upon my...",Been coming here for a few years now. Awesome punk bar with great music + cheap drinks. Staff is super cool and nice. 10/10 recommend checking it out for...,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
7,_7-wGQfXNgbr-WDIMzUvZw,the-moonlight-mile-brooklyn,The Moonlight Mile,https://s3-media2.fl.yelpcdn.com/bphoto/EdOc6d5dEU34r_Fc9OMNiA/o.jpg,False,https://www.yelp.com/biz/the-moonlight-mile-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,73,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",5.0,"{'latitude': 40.7321141, 'longitude': -73.9578424}",[],"{'address1': '200 Franklin St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['200 Franklin St', 'Brooklyn, NY 11222']}",+17183893904,(718) 389-3904,4607.0080198887,$$,Best old fashioned there is! Love the outdoor seating - great for the summer. Good wines  in the lis too,So admittedly I had bookmarked this spot ages ago when I saw they were a whiskey/bourbon bar that served Game of Thrones themed drinks. The dream. Fast...,"Went here to grab drinks with a friend and found a spot at the bar.

This place definitely attracts a crowd on a Saturday night and they had some of the...","[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1300', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1300', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
8,tWr-p82DJd1mGjn2oE3bcg,tba-brooklyn-new-york,TBA Brooklyn,https://s3-media2.fl.yelpcdn.com/bphoto/0unQRx6Z-5-fljQs5nR9TA/o.jpg,False,https://www.yelp.com/biz/tba-brooklyn-new-york?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,45,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'lounges', 'title': 'Lounges'}]",3.5,"{'latitude': 40.711256, 'longitude': -73.9663559}",[],"{'address1': '395 Wythe Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['395 Wythe Ave', 'New York, NY 11249']}",+13477704760,(347) 770-4760,4133.720378142603,$$,"Laid back.

Can't go wrong with TBA. It has a very interesting vibe. Warehouse style space with a large bar and dance area - late night is always solid, and...",Came here for the live music. Cover was 20 bucks a person. I didn't want to pay for that but my date did so we went anyways. Drinks are fairly priced and...,"I came for a friend's birthday party during happy hour and was excited finally to visit this legendary spot.

The sound system is really, really good....","[{'open': [{'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '2100', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '2200', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
9,M85t-iOAbMpO9mVIKAgwMw,le-garage-brooklyn,Le Garage,https://s3-media3.fl.yelpcdn.com/bphoto/JKzXeE8R-dy72JhJGwA2bw/o.jpg,False,https://www.yelp.com/biz/le-garage-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,147,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.6993863968861, 'longitude': -73.9265948743181}",[],"{'address1': '157 Suydam St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['157 Suydam St', 'Brooklyn, NY 11221']}",+13472951700,(347) 295-1700,821.877445783299,$$,"Rus and I made a reservation to have dinner at Le Garage on a Thursday night. The restaurant is dark, lit by candlelight, and seems perfect for dates.

The...","Even though the waiter wasn't extremely excited about the food during ordering or questions, the actual food itself made up for it. 

Super fresh and...","3 stars for the food, 0 stars for the service. This place has a ton of potential but they really need to get organized during brunch hours, it shouldn't...","[{'open': [{'is_overnight': False, 'start': '1800', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '1800', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '1800', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
