,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price,rev1,rev2,rev3,hours
0,XxcjALEpPpEyiqv8Np10Bw,kernsy-events-brooklyn-2,Kernsy Events,https://s3-media2.fl.yelpcdn.com/bphoto/drfab3MufVwQKeP1BNu2lg/o.jpg,False,https://www.yelp.com/biz/kernsy-events-brooklyn-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,19,"[{'alias': 'djs', 'title': 'DJs'}]",5.0,"{'latitude': 40.7282702, 'longitude': -73.9506774}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['Brooklyn, NY 11222']}",+19292240136,(929) 224-0136,2236.5663862875685,,"Zach (DJ Kernsy) was the best DJ we could have asked for at our wedding! 

Communication-  Zach was professional and pro-active. He made us feel at ease by...",Zach was an amazing DJ and helped us create the perfect wedding day! He was great at communicating and planning all the details leading up to our wedding....,"Hired DJ Zach for our anniversary dinner and, boy, were we in for a treat. He kept the music super LIT throughout the evening, delivering smashes one after...","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
1,xDELCKWk0sjaSFw8CeQkPA,club-cumming-new-york,Club Cumming,https://s3-media1.fl.yelpcdn.com/bphoto/__jR_B75aK1m8sI3Er5EBg/o.jpg,False,https://www.yelp.com/biz/club-cumming-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,41,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,"{'latitude': 40.72535, 'longitude': -73.98342}",[],"{'address1': '505 E 6th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['505 E 6th St', 'New York, NY 10009']}",+19172658006,(917) 265-8006,4538.817429032125,$$,"I've been to a few drag cabaret shows here (featuring Tina Burner) and absolutely have fallen in love with the place. The drinks are well made, the wait...","Ok, I feel terrible because I want to give it a 3.5 but not a 4... and here is the thing. I have been here only twice, once for drinks on  regular day...","Club Cumming is a East Village gay bar backed by Alan of the same name, hosting shows most every night.

I came last night for Cat Cohen's weekly Cabernet...","[{'open': [{'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
2,Ti9A-_WMY_swFRTzX1h56A,déjà-vu-astoria-7,Déjà Vu,https://s3-media1.fl.yelpcdn.com/bphoto/e55bvjZ7iXoYWXLpx9BLnA/o.jpg,False,https://www.yelp.com/biz/d%C3%A9j%C3%A0-vu-astoria-7?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,110,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.7674757, 'longitude': -73.918271}",[],"{'address1': '3322 28th Ave', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11103', 'country': 'US', 'state': 'NY', 'display_address': ['3322 28th Ave', 'Astoria, NY 11103']}",+17182678212,(718) 267-8212,2907.399516988556,$$,"Gorgeous venue for my husband's birthday party, amazing staff, delicious food, excellent drinks, great music, outstanding ambiance and attentiveness.  If...","I had no complaints until the bill arrived. The happy hour menu said ""all drinks 6dollars"" but that is not the case. It's very misleading. It's only well...",My dear friend picked this spot to link after work.....the inside is extremely small yet very cozy.....I arrived earlier than her and the place was empty at...,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
3,E8RE6fvsR1NsXodJiILHAA,and-son-new-york,& Son,https://s3-media3.fl.yelpcdn.com/bphoto/6Q5jiEj_R3JGgHPNB9CJRw/o.jpg,False,https://www.yelp.com/biz/and-son-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,3,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 40.77106, 'longitude': -73.95649}",[],"{'address1': '1450 Second Ave', 'address2': None, 'address3': ""Mel's Burger Bar"", 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1450 Second Ave', ""Mel's Burger Bar"", 'New York, NY 10021']}",,,3352.2086586633104,,"this place is a cool speakeasy or ""steakeasy"". It's located inside Mel's Burger. Recommend to make a reservation at the restaurant. Once greeted by the host...","What a fun place and still not known to the hip NYC foodie crowd so book now.  It's in the back of Mel's diner in a cozy, intimate room and the music makes...","& Son is the perfect date-night spot, tucked away in the back of Mel's Burger Bar. The 3-course prix fixe menu is a steal! My generously portioned steak was...","[{'open': [{'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1900', 'end': '0000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
4,-JFi2vYrS-CqL44o3fsf1A,w-xyz-bar-brooklyn-2,W XYZ Bar,https://s3-media3.fl.yelpcdn.com/bphoto/4z5MKgFlWJvoiL9LeQKMnQ/o.jpg,False,https://www.yelp.com/biz/w-xyz-bar-brooklyn-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,6,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 40.6913942, 'longitude': -73.9844709}",[],"{'address1': '216 Duffield St', 'address2': 'Aloft New York Brooklyn', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['216 Duffield St', 'Aloft New York Brooklyn', 'Brooklyn, NY 11201']}",+17182563833,(718) 256-3833,7228.357244396429,$$,"I LOVEEE THE DRINKS... the bartender (Adrian) is so creative and the drinking games are amazing for groups, couples, and friends. You want to pre-game and...",This is a low-key hotel lobby bar. Very small. But: the lighting (especially on the bar itself) is very nice. Good vibe. It is inside the lobby of Aloft...,Super awesome bar. I've been here a few times and I feel like I know the new bartender Adrian personally. Super great vibes and drinks Kimoto is nice but...,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
5,WfJNUmeFNU8_fznPgY9N_g,idas-nearabout-sunnyside,Ida's Nearabout,https://s3-media2.fl.yelpcdn.com/bphoto/bzj9fLTNcMhBriDIQR5cug/o.jpg,False,https://www.yelp.com/biz/idas-nearabout-sunnyside?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,116,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.7437641, 'longitude': -73.9208344}","['pickup', 'delivery']","{'address1': '43-13 Queens Blvd', 'address2': '', 'address3': None, 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['43-13 Queens Blvd', 'Sunnyside, NY 11104']}",+17184331916,(718) 433-1916,1309.7935898757287,$$,Ida's is the perfect neighborhood bar. Good happy hour and excellent food. I recently had my daughters 1st birthday in the back garden. Wes was totally...,"The Irish coffee is strong (first ingredient is Jameson, not coffee). The burgers are decent, better than your average bar burger. The fries were more...","French toast was phenomenal and boyfriend approves of the chicken and waffle !!! Great atmosphere, super cheap prices and good brunch! Doesn't play music...","[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,CcyjFCSKIhV2SyRpeU_1HA,lot45-brooklyn-2,Lot45,https://s3-media2.fl.yelpcdn.com/bphoto/_QryB2PrvZwNPkBimFp7sQ/o.jpg,False,https://www.yelp.com/biz/lot45-brooklyn-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,123,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'french', 'title': 'French'}]",3.5,"{'latitude': 40.7071251, 'longitude': -73.9224824}","['pickup', 'delivery']","{'address1': '411 Troutman St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['411 Troutman St', 'Brooklyn, NY 11237']}",+13475059155,(347) 505-9155,4386.508607475048,$$,I had an end of year party for my staff and we all enjoyed it. We were able to have the place opened 1 and half earlier just for us. This venue is huge two...,Was here with a couple friends and had the worst experience ever with Davide. I would not recommend this place to any of my friends. Look at the previous...,"I WAS PHYSICALLY ASSAULTED BY THEIR WHITE BOUNCER WHILE THE BLACK BOUNCERS STOOD AROUND AND DID NOTHING.

 Would be a no star rating if I could have left...",
7,Lf6uC5s6B8HIYAy-t9Hcng,goldbar-new-york,Goldbar,https://s3-media2.fl.yelpcdn.com/bphoto/sRoqJsXnCj6GPcF9KlCfSg/o.jpg,False,https://www.yelp.com/biz/goldbar-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,264,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.0,"{'latitude': 40.72036, 'longitude': -73.99713}",[],"{'address1': '389 Broome St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['389 Broome St', 'New York, NY 10013']}",+12122741568,(212) 274-1568,5821.516589370269,$$$,"Super cool vibe!
Lovely staff and the place is always happening. 
Would definitely recommend this spot.","Goldbar left me feeling a bit...confused. Yes, it's a nice venue with really cool decor but the location is super weird. I was there for a private party and...",Scum bar with an even scummier service. The guy Owen outside is the biggest tool in the city,"[{'open': [{'is_overnight': True, 'start': '2300', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '2300', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '2300', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '2300', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '2300', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
8,hVmt7YQsNLOzpnxfD-ekoQ,karaoke-shout-astoria-astoria,Karaoke Shout - Astoria,https://s3-media2.fl.yelpcdn.com/bphoto/t5laaLPlg5XLJpCU_FFVhQ/o.jpg,False,https://www.yelp.com/biz/karaoke-shout-astoria-astoria?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,232,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.0,"{'latitude': 40.75789, 'longitude': -73.9202}",[],"{'address1': '32-46 Steinway St', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11103', 'country': 'US', 'state': 'NY', 'display_address': ['32-46 Steinway St', 'Astoria, NY 11103']}",+17185690080,(718) 569-0080,1961.8214572422316,$$,"Our group of 12 had an awesome night here! 

We rented their (I think largest) private room. The room was awesome- two large pieces of modern art adorn each...","Who would have thought there'd be a karaoke place in Astoria?

I stopped by with three of my girlfriends on a Saturday evening. Summary below.

Pros:
-clean...",I came here to sing with my friend after she told me she's been here years ago. The open bar is not that big but could accommodate a good party of 10-15...,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
9,0QgWO521AjSa_gvXmmQ48A,sundays-well-new-york,Sundays Well,https://s3-media1.fl.yelpcdn.com/bphoto/aAZXB1m0eaorjClRn4XFnQ/o.jpg,False,https://www.yelp.com/biz/sundays-well-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,2,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'irish_pubs', 'title': 'Irish Pub'}]",5.0,"{'latitude': 40.74096, 'longitude': -73.98181}",[],"{'address1': '360 3rd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['360 3rd Ave', 'New York, NY 10016']}",+16467073190,(646) 707-3190,3870.5018015703695,,Can't say enough good things about this place! We stopped in for a drink this past Saturday night before heading to a dinner reservation nearby. We were...,New bar.  Total renovation for the  best!  Good amount of space at bar.  Great cocktails!,No Review,"[{'open': [{'is_overnight': True, 'start': '1500', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1500', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1500', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1500', 'end': '0300', 'day': 3}, {'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
