,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3,hours
0,1x9_jjlGWfBguOpq4FnL8A,sly-fox-new-york,Sly Fox,https://s3-media4.fl.yelpcdn.com/bphoto/Bj4u2v44ULwc3zrqGlnv5g/o.jpg,False,https://www.yelp.com/biz/sly-fox-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,88,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"{'latitude': 40.728873, 'longitude': -73.987257}",[],$,"{'address1': '142 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['142 2nd Ave', 'New York, NY 10003']}",+12126143283,(212) 614-3283,1370.514980555914,4.7 rating. Great dive bar with one of the best bartenders in the East Village. Great booth seating & always great musical vibes like 80s dance music or 90s...,"Being not much of a fan of most dives, this little bar is definitely not my first choice, but I love the East Village and the Taco place across the street...","As far as dives go, it's about as spot on as you can get. Dark, cheap drinks, lots of diversity from old timers to NYU kids, and all the bells and whistles...",
1,BEczaLOLCIwDoo0JanQyOQ,dixon-place-new-york,Dixon Place,https://s3-media3.fl.yelpcdn.com/bphoto/rmEvtQgsSnvZqY-Ivk7Sdw/o.jpg,False,https://www.yelp.com/biz/dixon-place-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,23,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 40.720609, 'longitude': -73.992819}",[],$,"{'address1': '161 A Chrystie St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['161 A Chrystie St', 'New York, NY 10002']}",+12122190736,(212) 219-0736,756.9574059519061,"This place is everything a small art house / lounge should be - affordable, exciting, friendly.

We saw a one-man psychedelic opera for $15, then spent $40...",NYC needs more places/ artist havens like Dixon Place. So grateful for this space and all the memories it helped me to create & experience. VIVA DP!,Loved loved Uluç intimate show Turkish coffee. Very very good company especially for Stephen  the bartender. SUPER SUPER SUPER! Don't forget to tip! Good...,"[{'open': [{'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1800', 'end': '2300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
2,3y_-DwmoM198umnZHSOmKQ,yves-new-york-2,Yves,https://s3-media2.fl.yelpcdn.com/bphoto/nal42tJNG9w-MvmmQbnkng/o.jpg,False,https://www.yelp.com/biz/yves-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,71,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}]",4.0,"{'latitude': 40.72021, 'longitude': -74.00996}","['delivery', 'pickup']",$$,"{'address1': '385 Greenwich St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['385 Greenwich St', 'New York, NY 10013']}",+12124313385,(212) 431-3385,2090.0566618118796,Came here for Valentine's Day with my husband and we loved our meal! We had high expectations since it's the chef from Locanda Verde and it exceeded our...,"I found out about this restaurant because it's on Seated, but from the start I wasn't too impressed with their menu since it's a bit limited. I came around...","Listen to me, there's a fried egg sandwich and there's a Fried Egg Sandwich--Yves is the latter.

What a meal, are you kidding me! 

I have a terrible habit...","[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
3,ohLIPmzTysowInbte9XhMw,the-malt-house-new-york-3,The Malt House,https://s3-media4.fl.yelpcdn.com/bphoto/wxCetW7aHVatpcEf11RLgA/o.jpg,False,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,518,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.709659, 'longitude': -74.009262}","['delivery', 'pickup']",$$,"{'address1': '9 Maiden Ln', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['9 Maiden Ln', 'New York, NY 10038']}",+16466827577,(646) 682-7577,2151.173469805757,"Nice space. It's very deceiving from the outside. It's a big open space with large screen TVs. 
As a party of 5 we tried a variety of things. The nachos...","I felt the food was okay, though perhaps not a super great value, unless you're at a work lunch.

Came in for lunch and for $30 ended up getting the 120day...","More accurately, I give this place a solid 3.5 stars. I came here for my birthday brunch and we had a party of 15 people. We picked this spot because my...","[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
4,CNbY3C2vZ2ZYNunXq-EmNQ,gitano-jungle-room-new-york,Gitano Jungle Room,https://s3-media1.fl.yelpcdn.com/bphoto/6Oo9VO1M8bsEHFOATN5DSA/o.jpg,False,https://www.yelp.com/biz/gitano-jungle-room-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,82,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'bars', 'title': 'Bars'}]",3.0,"{'latitude': 40.722782, 'longitude': -74.004827}",[],$$$,"{'address1': '23 Grand St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['23 Grand St', 'New York, NY 10013']}",+12122019119,(212) 201-9119,1763.9522564429537,"""It feels as if there is a beach on the other side of this restaurant"" - A. Gonzalez, my coworker.

Found this place through the ""AppApp"" app and went here...","This was such a one of a kind place, where you can experience both indoor and outdoor style of venue. 

The crowd is for people in their 20-30's. It's a...","Unfortunately, my group had to wait almost an hour past our reservation time. The host did comp our whole group a free round of drinks, but it was still...","[{'open': [{'is_overnight': False, 'start': '1500', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1500', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '1500', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1500', 'end': '0100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1600', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1600', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
5,M89uAWfkAgvVBB-VYGvESw,slushd-new-york,Slush'd,https://s3-media1.fl.yelpcdn.com/bphoto/ZDKvutyHAD8o9LzFdU2Ciw/o.jpg,False,https://www.yelp.com/biz/slushd-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,1,"[{'alias': 'beverage_stores', 'title': 'Beverage Store'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'wineries', 'title': 'Wineries'}]",5.0,"{'latitude': 40.7065887451172, 'longitude': -74.0096130371094}",[],,"{'address1': None, 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['New York, NY 10005']}",+13155592961,(315) 559-2961,2312.325679126654,Love these guys! I make sure to stop and get one of their amazing slushies at every event I see them at!,No Review,No Review,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,6Zeurt0hPz4Voj_I5Uq6Mg,rue-b-new-york,Rue B,https://s3-media2.fl.yelpcdn.com/bphoto/ePNEOCc-y5g4SWIHWZ8HGA/o.jpg,False,https://www.yelp.com/biz/rue-b-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,310,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]",4.0,"{'latitude': 40.727958, 'longitude': -73.979415}",[],$$,"{'address1': '188 Ave B', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['188 Ave B', 'New York, NY 10009']}",+12123581700,(212) 358-1700,1361.2503182884304,Ahhh the New York that I missed so much.  This has become a secret or not so secret celebrity hang in Alphabet City. Some of the best up and coming jazz...,"I went to this place because some jazz musicians I really like were playing there. In the middle of the set, a guy, who i later realized was the owner,...","I been here 3 or 4 times now - love the music, but bartenders have a lot of attitude. Lots of great music spots in the city no reason for bad vibes.","[{'open': [{'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
7,-pcCiCeyK4cvLtnkcF9T5Q,mekelburgs-domino-brooklyn,Mekelburg's Domino,https://s3-media2.fl.yelpcdn.com/bphoto/Jdn98-r1mihINsWa1cnBaA/o.jpg,False,https://www.yelp.com/biz/mekelburgs-domino-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,45,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.0,"{'latitude': 40.713712286121, 'longitude': -73.9671562005267}","['delivery', 'pickup']",$$,"{'address1': '319 Kent Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['319 Kent Ave', 'Brooklyn, NY 11249']}",+19294576315,(929) 457-6315,1590.580168084571,"I'm just gonna put it out there that I'm not a beer drinker, but my husband is, and he loves coming here.  There's an outstanding beer selection, with an...","A must visit in Williamsburg! Came by for an Equator coffee tasting event, stayed for a sandwich, and left with a smile from ear-to-ear and full stomach....","What I like about Mekelburg's Domino:

Fantastic food. Just like the original location, plenty of choices and all excellent. Some items are available only...","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
8,tCEGMsedUXTlblJv98dg-g,karaoke-nemo-nyc-new-york,Karaoke Nemo NYC,https://s3-media3.fl.yelpcdn.com/bphoto/gonQtzYipnIbP0XKNPL25A/o.jpg,False,https://www.yelp.com/biz/karaoke-nemo-nyc-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,109,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'lounges', 'title': 'Lounges'}]",3.5,"{'latitude': 40.73417, 'longitude': -73.99165}","['delivery', 'pickup']",$$,"{'address1': '54 E 13th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['54 E 13th St', 'New York, NY 10003']}",+12124771177,(212) 477-1177,2012.9025467889505,This place is pretty awesome! Came her for my daughter's 12th birthday party. We got a room for her and her friends ($20/child $10/adult). Decorations are...,"We came here on a Friday night. We were able to get a room right away without a reservation, which was really nice. They were also open to have customers...","This was definitely an interesting Karaoke place.  First off, if you're not paying attention, you'll definitely walk past it - it is located on the 2nd or...","[{'open': [{'is_overnight': True, 'start': '1430', 'end': '0030', 'day': 0}, {'is_overnight': True, 'start': '1430', 'end': '0030', 'day': 1}, {'is_overnight': True, 'start': '1430', 'end': '0030', 'day': 2}, {'is_overnight': True, 'start': '1430', 'end': '0130', 'day': 3}, {'is_overnight': True, 'start': '1430', 'end': '0230', 'day': 4}, {'is_overnight': True, 'start': '1430', 'end': '0230', 'day': 5}, {'is_overnight': True, 'start': '1430', 'end': '0030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
9,luqLCojVnVCKBZrXcqOhjA,reverendo-taco-and-tequila-bar-new-york,Reverendo Taco & Tequila Bar,https://s3-media2.fl.yelpcdn.com/bphoto/GlhPtIDQbLDA9OjW3eTcwA/o.jpg,False,https://www.yelp.com/biz/reverendo-taco-and-tequila-bar-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,19,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",3.5,"{'latitude': 40.70437, 'longitude': -74.01039}",['restaurant_reservation'],$$,"{'address1': '53 Stone St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['53 Stone St', 'New York, NY 10004']}",+12123448226,(212) 344-8226,2493.506826408208,Came here for lunch because I was feeling for some Mexican food and found this spot! The menu is simple and the food is great! I got a chicken burrito bowl...,"-great service: bar tenders were friendly and were service oriented. Always keen to make sure you had a drink in your hand.

-great food!: had the...","Ugh. 

Ok so we came in at lunch time and the place was busy which was a great sign. We sat at the bar and it took probably 15-20 minutes before the 2...","[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2330', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2330', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2330', 'day': 2}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
