,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3,hours
0,MKaRnG4eSx1XDiDEbDFv0A,lois-new-york,Lois,https://s3-media2.fl.yelpcdn.com/bphoto/spCcKP6SApjdLwRtgwTang/o.jpg,False,https://www.yelp.com/biz/lois-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,96,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 40.723708, 'longitude': -73.97887}",[],$$,"{'address1': '98 Avenue C', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['98 Avenue C', 'New York, NY 10009']}",+12124751400,(212) 475-1400,967.7727270058292,Loved this place! It was quaint with romantic dim lights and the music in the background was low enough so you could enjoy your conversation but still added...,"Lois is a pleasant wine bar with some tasty food.  

I tried the sausage rolls and highly recommend them.  The food was surprisingly good.  

The space is...","Cute and interesting place.
Really like the Orange Wine (Redhook something) we had. Friendly staffs also.
Would definitely come back!","[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
1,VKTRY50N3sNbht-aAgeJzw,pauls-cocktail-lounge-new-york,Paul's Cocktail Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/IM_ML6sMTVASvDZMxbhehQ/o.jpg,False,https://www.yelp.com/biz/pauls-cocktail-lounge-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,47,"[{'alias': 'lounges', 'title': 'Lounges'}]",2.5,"{'latitude': 40.7194177, 'longitude': -74.0047878}",[],$$$,"{'address1': '2 Ave Of The Americas', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['2 Ave Of The Americas', 'New York, NY 10013']}",+12125196681,(212) 519-6681,1651.7972502863186,"Came here on a date long time ago, to check out new club! Heard that Emma Watson and Leo di Caprio had been there before and was pretty excited :)

In...","If you get turned away at the door don't fret, this place stinks: the DJ could of been playing your cousin's wedding, some dude put his hand up my friend's...","Showed up to Paul's on a table I'd already paid for  with my friends, who were conveniently (for Paul's) all white. This bouncer pushed only me back as I...",
2,VCoSWqRuQVvyKS32sZqgRw,standings-new-york,Standings,https://s3-media4.fl.yelpcdn.com/bphoto/KIFU_CVNZSg3htCJ41cnuw/o.jpg,False,https://www.yelp.com/biz/standings-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,149,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,"{'latitude': 40.728163048625, 'longitude': -73.9884131401777}",[],$$,"{'address1': '43 E 7th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['43 E 7th St', 'New York, NY 10003']}",+12124200671,(212) 420-0671,1325.0752745834216,Best sports bar I've been to hands down . Awesome staff and that true nyc vibe . The effort on updating the standings on the chalkboard and cutting out...,"What a gem of a bar in NYC. Came in here on Saturday for round 2 of the MLB playoffs. Upon arrival, they had a bouncer working the door who was a little...","A truly special sports bar in the middle of East Village.

Yes, as others have explained, it's small. If you're more into the Midtown scene where you can...","[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
3,SNgPlsWJw0Zpmyi4e8VD4g,karma-new-york,Karma,https://s3-media4.fl.yelpcdn.com/bphoto/ncdPTaAyJ6HkG2iszS3KqA/o.jpg,False,https://www.yelp.com/biz/karma-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,321,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}]",2.5,"{'latitude': 40.72493, 'longitude': -73.98765}",[],$$,"{'address1': '51 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['51 1st Ave', 'New York, NY 10003']}",+12126773160,(212) 677-3160,941.3782706913764,I've had some great times at this bar. It is sooo much fun! Truly! I've created so many memories here with almost every person in my life over the last ten...,"Place is not cool and not what one would expect from a Hookah bar.  Or any bar for that matter.  

Cigarette smoking is allowed!  Never seen that before...","I have to admit I kind of like Karma.  The hookah scene is a dying breed in new york.  

There are other hookah spots nearby, but this one has a full bar,...","[{'open': [{'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1500', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
4,onw1lGksWck5Hhe_isyFYQ,airs-new-york,Air's,https://s3-media2.fl.yelpcdn.com/bphoto/ur_oq3CG_Exu2UiU6fAL2Q/o.jpg,False,https://www.yelp.com/biz/airs-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,62,"[{'alias': 'champagne_bars', 'title': 'Champagne Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 40.7305977209813, 'longitude': -74.000198659212}",[],$$,"{'address1': '127 Macdougal St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['127 Macdougal St', 'New York, NY 10012']}",+12124204777,(212) 420-4777,1985.2275806823006,"They had a ton of reasonable options to buy a bottle. If you're going with more than 2 people, 100% get a bottle. It's all approachable and the staff are...","Air's is a great place for a date, but can also work with a couple of friends. I split a bottle of a dry champagne with my date and it was pretty tasty....","My fiancé and I loved visiting Air's!

The ambiance and decor were so cute. Champagne-colored velvet, comfortable low seating, mirrors, and indoor plants...","[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
5,8fr5FYU1ip0phERt1mrekg,bohemian-restaurant-new-york,Bohemian Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/n2ondRUft2ELsS_H8X-GOA/o.jpg,False,https://www.yelp.com/biz/bohemian-restaurant-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,759,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.72639, 'longitude': -73.99236}",[],$$$,"{'address1': '57 Great Jones St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['57 Great Jones St', 'New York, NY 10012']}",,,1230.6900120071923,"[review for bar time only. Never planned far enough to get a dinner reservation]

This is an ideal setting for good conversations in fun company. Not great...","Bohemian restaurant is a referral only restaurant that seats about 20 people. The restaurants entrance is a humble door only entrance next to a butcher.
We...","Managed to snag a reservation for 2, for a a date night with the wife.

Decor/Seating - Decor payed homage to the area's gritty roots and Basquiat. I'm also...","[{'open': [{'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,lFxrv7bf_cHphOHg4NyZ-w,milanos-bar-new-york,Milano's Bar,https://s3-media1.fl.yelpcdn.com/bphoto/ibsE7himAyc-UqUtwEqPtA/o.jpg,False,https://www.yelp.com/biz/milanos-bar-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,160,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",4.0,"{'latitude': 40.72454, 'longitude': -73.99463}",[],$,"{'address1': '51 E Houston St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['51 E Houston St', 'New York, NY 10012']}",+12122268844,(212) 226-8844,1168.072970383808,"I have never eaten here. I'm not entirely sure they even serve food. 

However, they have excellent taste in their ambiance as well as music selection. It...","Great place to hang out with friends, drinks, chips, did I mention drinks? And awesome atmosphere!!
Stop in and have few. Happy hour all day everyday and...","Everything you want in a downtown bar. Cheap, honest, easy, cool- there was even jazz.","[{'open': [{'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
7,s9pCq2kw9k1JKL06N9BsiQ,mary-os-new-york,Mary O's,https://s3-media3.fl.yelpcdn.com/bphoto/DA5mSYIZZ711dPLxGoLmHA/o.jpg,False,https://www.yelp.com/biz/mary-os-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,128,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 40.72329, 'longitude': -73.98523}","['delivery', 'pickup']",$$,"{'address1': '32 Ave A', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['32 Ave A', 'New York, NY 10009']}",+12125055610,(212) 505-5610,741.1013508068556,"This is my boyfriend's favorite spot in NYC, and even though I'm not a bar person, I agreed to go here with him shortly after we started dating. Boy, am I...","Mary O's is a hidden gem on Avenue A. 

It's truly such a comforting place. Popped in lasted month with a mate and came back ASAP. Mary is usually tending...",Awesome little Irish pub. We past by it and saw a sign with their specials for the night and decided to come inside. Night relaxed atmosphere for a Friday...,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
8,RTA_esY_iOwFe3qyNzHeLQ,bin-no-220-new-york,BIN No. 220,https://s3-media4.fl.yelpcdn.com/bphoto/b6AsGeofzHrU3LT6Icze3Q/o.jpg,False,https://www.yelp.com/biz/bin-no-220-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,83,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",4.0,"{'latitude': 40.70761, 'longitude': -74.00236}",[],$$,"{'address1': '220 Front St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['220 Front St', 'New York, NY 10038']}",+12123749463,(212) 374-9463,1742.265605895367,Quaint and comfortable watering hole suggested by Panerella wine shop from around the corner. wine and beer at reasonable price with decent amount of...,"A dimly lit setting will always catch my attention.  Bin No. 220 is a prime example of an intimate setting which is good for dates, small groups and even to...","This review is not for the wine. 

It's 11:56pm on Saturday- but already completely shut up tight. This is certainly within a manager/owner's preview to...","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
9,3jcwIzabGezk29Q8YRwXdg,blanches-tavern-new-york,Blanche's Tavern,,False,https://www.yelp.com/biz/blanches-tavern-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,1,"[{'alias': 'nightlife', 'title': 'Nightlife'}]",5.0,"{'latitude': 40.72706, 'longitude': -73.98299}",[],,"{'address1': '135 Avenue A', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['135 Avenue A', 'New York, NY 10009']}",+12126733824,(212) 673-3824,1175.1120955802521,"Incredible woman, incredible bar, powerful vibes, life changing experience, incredibly powerful",No Review,No Review,
