,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price,rev1,rev2,rev3
0,86oUnSZUX2ZdP1iHqYn8Hw,the-broadway-brooklyn,The Broadway,https://s3-media1.fl.yelpcdn.com/bphoto/J8J_ECzMzpsIroJaz7gUsQ/o.jpg,False,https://www.yelp.com/biz/the-broadway-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,3,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",4.0,"{'latitude': 40.69096, 'longitude': -73.92488}",[],"{'address1': '1272 Broadway', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1272 Broadway', 'Brooklyn, NY 11221']}",,,367.41630592864124,,"No good reason this place is not on yelp... well. Your welcome.

Tucked away spot off Broadway. A friend invited me to experience his band playing and it...","I was excited to see a ""cool"" bar legit only like a block from where I was staying for the week. The sign outside doesn't necessarily belie what's inside,...",Bartender was amazing. She helped with everything and gave extremely good service. This will be my go to spot in bushwick.
1,soxVPzLIWTRsViMr5E-nSA,buntons-world-famous-new-york,Bunton's World Famous,https://s3-media2.fl.yelpcdn.com/bphoto/2V0jh-n9CLHsfDj9ZxPsnA/o.jpg,False,https://www.yelp.com/biz/buntons-world-famous-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,24,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 40.69606, 'longitude': -73.93334}",[],"{'address1': '1005 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['1005 Broadway', 'New York, NY 11211']}",+17187584474,(718) 758-4474,547.904039094921,,"So... Long story short. We had decided to stay in for NYE and then last minute decided to step out for some low-key drinks. As we were in BK, we stopped by...","Been here two times. Once on a date, another time with a friend. The vibe in here is good for both lol.

There's also a DJ/good music playing here. A mix of...","The best piñA Coladas I've had in Brooklyn ! Don't ever change them 
Great bar 
Great music great vibe ! 
Nice staff"
2,XjKaW-3w7v0fGQJzIZg0cQ,house-of-yes-brooklyn,House of Yes,https://s3-media3.fl.yelpcdn.com/bphoto/sUIXjB48Y020A0wr9R0WNw/o.jpg,False,https://www.yelp.com/biz/house-of-yes-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,296,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 40.70686, 'longitude': -73.92353}",[],"{'address1': '2 Wyckoff Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['2 Wyckoff Ave', 'Brooklyn, NY 11237']}",+16468384973,(646) 838-4973,1612.6915188678147,$,"What a show!
What a venue!
This place is just so glittery and sparkly and all around fabulous! Too bad I wasn't able to get more pics of the inside!
Came...","What a nice, down-home venue! Lots of hippie and Burner stuff happening here. Sometimes Daybreaker also happens here. It's everything you would expect from...","This is a really, really fun venue. 

Most events are themed and people tend to wear terrific costumes. I've been here for several parties and always have a..."
3,m1SprA3LBB5mL8QaH5GTew,lone-wolf-brooklyn,Lone Wolf,https://s3-media2.fl.yelpcdn.com/bphoto/-45SAerxlyMbPIfC17xmzg/o.jpg,False,https://www.yelp.com/biz/lone-wolf-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,101,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",4.0,"{'latitude': 40.694531, 'longitude': -73.930436}",[],"{'address1': '1089 Broadway', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1089 Broadway', 'Brooklyn, NY 11221']}",+13472409542,(347) 240-9542,254.4133406471668,$,"First, know this bar is not fancy. It's a dive, my favorite kind of place to grab a drink on a late night. The bartender, Cash, was super personable and...",This place is great!!! The bartender is so nice and they have so many options in whiskey & bourbon.The music is so chill and definitely gives you the...,Classic dive bar. Punk playing loud but not too loud you can't have a conversation. Fun bartender and cheap whiskey. Couldn't have asked for much more.
4,SBkebBPuX2mRUQ9VaQ91NQ,boobie-trap-brooklyn,Boobie Trap,https://s3-media2.fl.yelpcdn.com/bphoto/x4udwhR5ab_2R1L4QcByFA/o.jpg,False,https://www.yelp.com/biz/boobie-trap-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,268,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",4.0,"{'latitude': 40.7003517876193, 'longitude': -73.9161294247438}","['pickup', 'delivery']","{'address1': '308 Bleecker St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['308 Bleecker St', 'Brooklyn, NY 11237']}",+13472409105,(347) 240-9105,1346.153414508576,$,"This place was amazing! Adorable hipstery decor, delicious drinks, friendly staff, games to play, it literally has everything!!!
I came on a Saturday night...","T was a great bartender that made some
out of towners feel special hanging out in their living room. I'll be back!","The Boobie Trap is a really fun place thanks to the quirky decor, board games, and drink specials. My friends and I came multiple nights and consistently..."
5,qn4dSOe7aGsB79TEnaL7sA,shisha-shack-brooklyn-2,Shisha Shack,https://s3-media3.fl.yelpcdn.com/bphoto/9gBFfDegkQu6oyewOPu4Bw/o.jpg,False,https://www.yelp.com/biz/shisha-shack-brooklyn-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,20,"[{'alias': 'hookah_bars', 'title': 'Hookah Bars'}]",4.0,"{'latitude': 40.69415, 'longitude': -73.930713}",[],"{'address1': '1092 Broadway', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1092 Broadway', 'Brooklyn, NY 11221']}",+16467961382,(646) 796-1382,242.10829495208017,$$,Came here with my sister in law to relax a bit before heading back off to California. This place is amazing. Great music and tasteful hookah. Andy hooked us...,I have been to the place 2 times. 1st during the week and they were hardly open. They need better furniture being as though they charge 30 to 40 per hookah...,Rating should be Negative 100. Tried to support this business and paid to rent it out and they stole my money and told me I couldn't have my party there and...
6,ngayYM5gI_xt9xjQ5NrqDw,flowers-for-all-occasions-brooklyn-2,Flowers For All Occasions,https://s3-media2.fl.yelpcdn.com/bphoto/yv5VycaO3--rG6lifMOuDQ/o.jpg,False,https://www.yelp.com/biz/flowers-for-all-occasions-brooklyn-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,28,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'galleries', 'title': 'Art Galleries'}]",4.0,"{'latitude': 40.69374, 'longitude': -73.92984}",[],"{'address1': '1114 De Kalb Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1114 De Kalb Ave', 'Brooklyn, NY 11221']}",,,152.79841226967696,$,"Flowers For All Occasions is a great low key coffee shop in the Brooklyn area. It has great music  playing and a great atmosphere. They have beer, wine,...",Cool place for games and to see live music. Bartender/hostess/waitress wasn't the most inviting or friendliest. Would go back to play Chess and drink beer....,This bar was wicked cool while also being incredibly cute. My friend and I both got margaritas and we were far from disappointed. The music was rad and...
7,9RRrWWNnoV0S6GwIl9Zw7w,the-coyote-club-new-york,The Coyote Club,https://s3-media1.fl.yelpcdn.com/bphoto/hVw8NeSNZFKgb4U61OeHbQ/o.jpg,False,https://www.yelp.com/biz/the-coyote-club-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,9,"[{'alias': 'bars', 'title': 'Bars'}]",5.0,"{'latitude': 40.6886004065033, 'longitude': -73.9417590347459}",[],"{'address1': '417 Throop Ave', 'address2': '', 'address3': None, 'city': 'NEW YORK', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['417 Throop Ave', 'NEW YORK, NY 10001']}",,,1205.337380745781,,Cute spot that seems to attract every mullet haircut within a 100-mile radius. My friend and I arrived at 8pm on a Saturday to a very relaxed ambience and...,This place is the basement bar your uncle had doing numbers games back in '83.. Gentrifiers would know nothing about that. The wood paneling and the booths...,"This place was empty on a Sunday at around 6pm, but super cute! It felt like I was having a date in the 60's. 60's music, roomie booths, a photo booth and..."
8,YLneWqE-Mixh9BCwnS5QBA,mood-ring-brooklyn-2,Mood Ring,https://s3-media4.fl.yelpcdn.com/bphoto/XlRyygM0kPGYHyFw4EifLQ/o.jpg,False,https://www.yelp.com/biz/mood-ring-brooklyn-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,39,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'gaybars', 'title': 'Gay Bars'}]",4.0,"{'latitude': 40.69779, 'longitude': -73.92698}",[],"{'address1': '1260 Myrtle Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1260 Myrtle Ave', 'Brooklyn, NY 11221']}",+19178181738,(917) 818-1738,575.9307245429087,$$,My girlfriend and I were looking for some bars near our Airbnb to wind down after a long travel day. We were recommended to this new spot (now not so new...,"No cover if you get there early. Bar in front, dance room in the back. The music is a toss up, but cool decorations paying homage to the Hong Kong director...","So I decided to check out Mood Ring after a bleh date on a Thursday Night alone, yes alone, because I just didn't feel like going back home. So I sauntered..."
9,W1lhp2SkrO-rVqTmnUCxrw,birdys-bushwick,Birdy's,https://s3-media2.fl.yelpcdn.com/bphoto/is81WbW_fUAbi5O3y1qunQ/o.jpg,False,https://www.yelp.com/biz/birdys-bushwick?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,52,"[{'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.6974875592869, 'longitude': -73.9313730540894}",[],"{'address1': '1215 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Bushwick', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1215 Myrtle Ave', 'Bushwick, NY 11221']}",+13473652677,(347) 365-2677,579.0986617472548,$,"This is the dive bar of all dive bars. The bar has a very ""lived in"" vibe with a decorated bar back with photos and knick knacks, etc. There are also arcade...",The frozen whiskey sours won my heart and upped my mood after I had a pretty shitty time at super happy hidden treehouse or whatever the fuck the other bar...,"I recently moved to Brooklyn and was looking for a local bar when I found Birdy's. You walk in to a dimly lit room with low ceilings, bar on the left,..."
10,-NglVrPdjl3dG-z8ZBzJyQ,the-wilky-brooklyn,The Wilky,https://s3-media2.fl.yelpcdn.com/bphoto/3hyaYoAPNXnz7BoqwkZjGw/o.jpg,False,https://www.yelp.com/biz/the-wilky-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,150,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.68802, 'longitude': -73.92735}",[],"{'address1': '108 Patchen Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['108 Patchen Ave', 'Brooklyn, NY 11221']}",+17184847458,(718) 484-7458,535.433020578031,$$,"The Wilky is my favorite bar in Brooklyn. 

Tons of great draft beers that are constantly shuffling. 

Solid bar food that is quick and delicious. 

Fresh...","The so and friends wanted to imbibe and eat so we ended up here.  The Wilky is a hipster, divey spot - something you would find in a Tarantino movie.  The...","This bar is a Chicago style pub in the heart of BedStuy. This location was right around the corner from my brownstone, and when they open this place up I..."
11,lcqH_6lh3SuwDZKErLmZXg,bossa-nova-civic-club-brooklyn,Bossa Nova Civic Club,https://s3-media1.fl.yelpcdn.com/bphoto/MLC2zYFBZlvgeBWzxRzoPQ/o.jpg,False,https://www.yelp.com/biz/bossa-nova-civic-club-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,113,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 40.6979738, 'longitude': -73.9279654}",[],"{'address1': '1271 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1271 Myrtle Ave', 'Brooklyn, NY 11221']}",+17184431271,(718) 443-1271,583.9412570572036,$$,I love this club and have been going there for years. I'm giving it a 5 star because its an amazing club that is chill and serves up great music and...,"The 2 stars is literally only for the bouncers outside. They're dicks. Rude, intimidating on purpose and jackasses to the wrong people. I get you need to...",Amazing place to relax and wind down. Met a lot of people here. Definitely loved the environment and the water tasted so good.
