,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price,rev1,rev2,rev3
0,hTm17szHO_tMfhp_qEFAUA,nesdjs-manhattan,NESdjs,https://s3-media2.fl.yelpcdn.com/bphoto/9NoFkvUo-xtlQVlURGbAkg/o.jpg,False,https://www.yelp.com/biz/nesdjs-manhattan?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,1,"[{'alias': 'djs', 'title': 'DJs'}]",5.0,"{'latitude': 40.731323, 'longitude': -73.990092}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Manhattan', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['Manhattan, NY 10003']}",+16467120280,(646) 712-0280,1745.239562464673,,"This guy has got it goin on! Whether you wanna drop it like it's hot, or get ur grind on, this guy gets the dance floor jumpin! Go check him out for...",No Review,No Review
1,ph-GkrDhM1pBwbs-pfvV1A,garfunkels-new-york,Garfunkel's,https://s3-media2.fl.yelpcdn.com/bphoto/gFeh87SUoxwRvljw0CULBQ/o.jpg,False,https://www.yelp.com/biz/garfunkels-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,219,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.0,"{'latitude': 40.71941, 'longitude': -73.98501}",[],"{'address1': '67 Clinton St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['67 Clinton St', 'New York, NY 10002']}",+12125296900,(212) 529-6900,313.457728132723,$$,"4.5 stars for a lovely, unexpected find just across from Pig and Khao, a nice two-fer if you find yourself on the LES. Walk through the burger spot on the...","REVIEW IS FOR AFTERNOON TEA: 
It's unique to find an afternoon tea experience in the city that's not at The Plaza. Add that to a speakeasy vibe and you get...","This place was so awesome. The lighting, ambiance, everything about it was just so intriguing. We walk through typical doors on a side street bar... but..."
2,9HD5HQiTkURkx5i7hL92EA,spicy-moon-west-village-new-york-2,Spicy Moon West Village,https://s3-media1.fl.yelpcdn.com/bphoto/O38BGgFpTJ-1e7_lwjgDEg/o.jpg,False,https://www.yelp.com/biz/spicy-moon-west-village-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,19,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 40.729318, 'longitude': -73.99832}","['pickup', 'delivery', 'restaurant_reservation']","{'address1': '68 W 3rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['68 W 3rd St', 'New York, NY 10012']}",+16465901390,(646) 590-1390,1778.283487540242,$$,Amazing vegan Chinese food! Was a huge fan of the East village location- their first location. Their popularity outgrew their capacity and now they have a...,"This is the new / second location of Shanghai Moon, a beloved vegan Szechuan spot. It's bigger than its predecessor, and just as cute. We were so excited we...","This is honestly the best vegan food I've ever had! I'd recommend the Dandan noodles, peppercorn brussel sprouts, general tso's mushroom, vegetable wonton..."
3,AgIySnoCkTaoTD2kk_9Aiw,the-bitter-end-new-york,The Bitter End,https://s3-media1.fl.yelpcdn.com/bphoto/jscNzSQIW-pZXVmM4GOxHg/o.jpg,False,https://www.yelp.com/biz/the-bitter-end-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,233,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",3.0,"{'latitude': 40.7284099, 'longitude': -73.99914}",[],"{'address1': '147 Bleecker St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['147 Bleecker St', 'New York, NY 10012']}",+12126737030,(212) 673-7030,1739.8027510038705,$$,The Bitter End is one of the places fans of live music should be sure to visit if they happen to be in the East Village and are looking for something...,Came here on a Thursday night for a friend's birthday. We came specifically to see the band 45riots and had a really good time! Cover was $10 and the guy at...,Man I stay the hell away from NYU country if I can but I'll go pretty much anywhere for live music. I got in half price the night I came because they only...
4,PzkHteT9bFm4YATo1ALeyg,pieces-new-york-2,Pieces,https://s3-media2.fl.yelpcdn.com/bphoto/JlUwMIvdYSYSGw1bCJWB6Q/o.jpg,False,https://www.yelp.com/biz/pieces-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,154,"[{'alias': 'gaybars', 'title': 'Gay Bars'}, {'alias': 'karaoke', 'title': 'Karaoke'}]",3.5,"{'latitude': 40.733807, 'longitude': -74.000085}",[],"{'address1': '8 Christopher St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['8 Christopher St', 'New York, NY 10014']}",+12129299291,(212) 929-9291,2270.2245745021078,$,"What a night out on the town in NYC this turned out to be. Now let me tell you that I did not plan to end up at Pieces, nor had I ever heard of Pieces, but...","Not my favorite experience in the city but a little fun. There was a drag show going on, yay!!! I live a great show! We went in on a Saturday night about...","I really love this place- it's a classic.

This bar has enough personality for the whole west village. The decor is simple and relatively dark. They have a..."
5,J3NT61-AH5d5Gu5tFJhYSw,the-cabin-nyc-new-york-2,The Cabin NYC,https://s3-media2.fl.yelpcdn.com/bphoto/dc54M8OrhvbJLRkuSmdmHw/o.jpg,False,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,218,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.72393, 'longitude': -73.98383}",['restaurant_reservation'],"{'address1': '205 E 4th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['205 E 4th St', 'New York, NY 10009']}",+12127770454,(212) 777-0454,829.0529054963516,$$,I came here for a friend's birthday and fell in love with the decor. It's super cozy and definitely transports you to a cabin in the woods (no horror movie...,"We (my company) rented out the venue for a few hours on a Friday night, and wow this was simply a terrific experience from top to bottom.

What makes this...","For my first time, it was an amazing time. We decided to brunch here to celebrate my 26th birthday. The owner was gracious enough to seat us at the best..."
6,U7H_286KDxKSed5K3kn7Vg,queen-vic-new-york,Queen Vic,https://s3-media1.fl.yelpcdn.com/bphoto/3xYFsD5UHy0HFlAtOCaLjg/o.jpg,False,https://www.yelp.com/biz/queen-vic-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,84,"[{'alias': 'pubs', 'title': 'Pubs'}]",3.5,"{'latitude': 40.72594, 'longitude': -73.9892179}",[],"{'address1': '68 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['68 2nd Ave', 'New York, NY 10003']}",+12122285357,(212) 228-5357,1081.4724485127363,$,This place is great. It isn't trying to be anything other than a place for neighborhood locals to get a drink and hang out with friends in a low pressure...,Disrespectful to musicians by cutting their pay in half moments before their set began. I want to go to a place that respects Working Musicians. Do better.,Was there last night and bartender was very abusive. Ordered a drink when the bar was empty and the bartender became enraged when I didn't drink the whole...
7,CaFkfhLxjzPAxS9-G6lNVg,cantina-royal-brooklyn,Cantina Royal,https://s3-media4.fl.yelpcdn.com/bphoto/u3Ys2OIPmsoXdZ4Qtw-JqQ/o.jpg,False,https://www.yelp.com/biz/cantina-royal-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,252,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",3.5,"{'latitude': 40.7175416270346, 'longitude': -73.9634865865082}","['pickup', 'delivery']","{'address1': '58 N 3rd St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['58 N 3rd St', 'Brooklyn, NY 11211']}",+13477632938,(347) 763-2938,1861.3197402719343,$$,"Came to cantina and i have to say between the great drinks, delicious food, and amazing vibe... our bartender Adam York was everything!! He really made us...",I honestly wish I could give this place zero stars that's how bad it was. Came in for brunch with three of my girlfriends in the early afternoon and there...,Where do I start? My party of 8 made last minute brunch plans via Pulsd and came across a deal. The deal which has now since been changed said each pulsd...
8,iQB37FNqD_G5_QMrp9ovnw,jadis-new-york,Jadis,https://s3-media3.fl.yelpcdn.com/bphoto/fkpYUCwqIP-E3kBh2uJgPA/o.jpg,False,https://www.yelp.com/biz/jadis-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,493,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 40.7210234741789, 'longitude': -73.9910054106201}","['pickup', 'delivery']","{'address1': '42 Rivington St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['42 Rivington St', 'New York, NY 10002']}",+12122541675,(212) 254-1675,672.1341447183793,$$,"So giving an update since my review was in 2015. It's 2020 ya'll and I still love this place. 

Still my go-to wine bar for happy hour around the area and...","I know Jadis is a wine bar, but I happened to come here with my friends because they actually wanted dessert LOL.

Well, they ended up having wine AND...",After visiting an art exhibition with some friends we felt like having a little drink. I would say...wine - french. Jadis was the closest around and guys It...
9,5TlFyzPaQzxtPz8BFm_7PQ,miracle-new-york-3,Miracle,https://s3-media2.fl.yelpcdn.com/bphoto/fkUmPHbKVdJzMydbwJoHXQ/o.jpg,False,https://www.yelp.com/biz/miracle-new-york-3?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,12,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 40.729, 'longitude': -73.98087}",[],"{'address1': '505 E 12th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['505 E 12th St', 'New York, NY 10009']}",+13478667739,(347) 866-7739,1436.7922972809745,,"When in New York City, indulge! At least that's what I did. I'm a huge fan of all things Christmas so when I found out that this pop Up shop was up and...","I had family come visit from upstate ny and for the past 3 years, this has been our tradition, but our first time at 12 Street.  The waitress told us the...","After seeing the line out the door for Miracle on 9th Street, I couldn't be more excited for Miracle on 12th Street - its second location! Same concept but..."
