,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3
0,JboVlCv3LtJt8hA-yI9U0A,beija-flor-long-island-city,Beija Flor,https://s3-media3.fl.yelpcdn.com/bphoto/CWF3S-pHtYOIItaECnUnZA/o.jpg,False,https://www.yelp.com/biz/beija-flor-long-island-city?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,227,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.754601940029, 'longitude': -73.9336216385827}","['delivery', 'pickup']",$$,"{'address1': '38-02 29th St', 'address2': '', 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['38-02 29th St', 'Long Island City, NY 11101']}",+17186062468,(718) 606-2468,1072.8548080593755,"Such a lively dinner spot, even on a Sunday night! I happened to catch the live music, and the whole place felt like a mini dance party by the time I...","Very pretty atmosphere been here a couple of times but recently went for a wedding celebration,

great drink options! give their caipirinha a try if youve...",GREAT FOR BRUNCH! It was our first time here and I must say I was very impressed with the service and the food. We had our gf brunch here on a Saturday...
1,vkQSMwAf5yqDw9HfEQYgzw,the-flower-shop-new-york-2,The Flower Shop,https://s3-media2.fl.yelpcdn.com/bphoto/raG7FHaFJ2ZGvBK2fG2TJQ/o.jpg,False,https://www.yelp.com/biz/the-flower-shop-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,123,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,"{'latitude': 40.71807, 'longitude': -73.99213}","['delivery', 'pickup']",$$,"{'address1': '107 Eldridge St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['107 Eldridge St', 'New York, NY 10002']}",+12122574072,(212) 257-4072,5598.922279694118,"I became hip to this too-cool-for-school bar when they first opened, when everyone who was somebody could be found here on a weekend night. Don't worry...","Came for an event specifically for people NOT to use their smartphones.  I was in a downstairs area, no one served me even when I went up to the bar area....","Got the fried chicken and the cauliflower steak.

The fried chicken was honesty really good, one of the better ones I've had in the city. I would rate it as..."
2,ANelFPxnfdT-7TIg_dAk5w,tropix-bar-and-lounge-rego-park,Tropix Bar & Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/0OThK5ityMpajQhVv1zHCw/o.jpg,False,https://www.yelp.com/biz/tropix-bar-and-lounge-rego-park?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,275,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 40.7302817861283, 'longitude': -73.8636975701552}","['pickup', 'delivery']",$$,"{'address1': '9532 Queens Blvd', 'address2': '', 'address3': '', 'city': 'Rego Park', 'zip_code': '11374', 'country': 'US', 'state': 'NY', 'display_address': ['9532 Queens Blvd', 'Rego Park, NY 11374']}",+17182750024,(718) 275-0024,6334.5645155391785,"Take out service is  amazing 10stars!!!!
Give the order over the phone and its ready when u get there. Amazing food and drinks.","Best place to be in queens karaoke every Wednesday grown up crowed 
Staff is great bartenders to the manager Alex 
Thank you guys 
I'll always come here to...","Been to this place a few times now, thanks to my girl for putting me on. This is one of the favored places by locals and definitely one of the better spots..."
3,vGS5X12NYXCl8NpynlxRuw,oscar-wilde-new-york-2,Oscar Wilde,https://s3-media4.fl.yelpcdn.com/bphoto/AkUDvzzZGb-LPVQHAsZafQ/o.jpg,False,https://www.yelp.com/biz/oscar-wilde-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,675,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,"{'latitude': 40.74514, 'longitude': -73.9900399}","['delivery', 'restaurant_reservation', 'pickup']",$$,"{'address1': '45 W 27th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['45 W 27th St', 'New York, NY 10001']}",+12122133066,(212) 213-3066,4528.574647647637,"One word to describe this restaurant, ""Historic!""

Imagine this, you walk into a historical restaurant where the ceilings are high, marble fireplace,...",The most gorgeous bar I have ever stepped foot into. The decor and atmosphere is absolutely beautiful. If it weren't for the loud basic crowd here who feel...,"Let me start with a separate drink review:
For drinks this place is great! Yummy drinks with a lot of options and a big bar that snakes around the..."
4,0ZIWsNhLPUv-N2HW8hMTJA,le-poisson-rouge-new-york,Le Poisson Rouge,https://s3-media3.fl.yelpcdn.com/bphoto/E1fiZNm9TX66F-S4TsyYHg/o.jpg,False,https://www.yelp.com/biz/le-poisson-rouge-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,472,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}]",3.0,"{'latitude': 40.7285022, 'longitude': -74.0000425}",[],$$,"{'address1': '158 Bleecker St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['158 Bleecker St', 'New York, NY 10012']}",+12125053474,(212) 505-3474,5683.427049028208,The Freedom Party is held here once a month- the Last Friday of every month! If you want to dance to 80s and 90's music this is the place! Great crowd. The...,"The band is very talented but the drinks are pure garbage. When you can't even make a vodka soda right, I don't want to know what else you can't make. The...","Went to see Flamenco Vivo there last night. The show was great.
The venue was overcrowded and understaffed. For the tables - about 400 people - there were 4..."
5,Y4r2Yw1fkvEhSJ93KMQsDw,peoples-new-york-3,Peoples,https://s3-media1.fl.yelpcdn.com/bphoto/hSihIANCAIEBZEdN27QQJg/o.jpg,False,https://www.yelp.com/biz/peoples-new-york-3?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,2,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 40.718264, 'longitude': -73.988149}",[],,"{'address1': '115 Delancey St', 'address2': '', 'address3': 'Cellar level at the Market Line', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['115 Delancey St', 'Cellar level at the Market Line', 'New York, NY 10002']}",+12122022550,(212) 202-2550,5296.680845580236,The new wine bar/restaurant from best buds Jeremiah and Fabian and partner Daryl Nuhn just opened recently in the otherwise pretty quiet Market Line (the...,Very much enjoyed stopping here for wine and a light-ish dinner Friday evening. Two of us were able to squeeze into the community table and we both opted to...,No Review
6,AlZYxW1hQ3S2sGbtNjo64w,cibar-new-york,Cibar,https://s3-media3.fl.yelpcdn.com/bphoto/HpI3zIPfwcpVGrrSw3l9dQ/o.jpg,False,https://www.yelp.com/biz/cibar-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,305,"[{'alias': 'lounges', 'title': 'Lounges'}]",4.0,"{'latitude': 40.73596, 'longitude': -73.98696}",['restaurant_reservation'],$$$,"{'address1': '56 Irving Pl', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['56 Irving Pl', 'New York, NY 10003']}",+12124605656,(212) 460-5656,4397.275856865311,"I organized a school happy hour at Cibar and it was awesome! Jennifer, the reservation manager, accommodated the time that worked best for us and made an...","Great ambience and delicious drinks!
We can here in a Saturday night and it wasn't that crowded. It's right next to casa mono and has a great chill vibe....","Awesome cozy , professional and stylish bar perfect for events , date or business meeting . 
Prices are very affordable , great service and excellent food ...."
7,NsKGTZLeedObm_8Ir1BirQ,aloha-nyc-astoria,Aloha NYC,https://s3-media1.fl.yelpcdn.com/bphoto/SYDzdqhlI4z6AeL-D5fACA/o.jpg,False,https://www.yelp.com/biz/aloha-nyc-astoria?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,30,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'lounges', 'title': 'Lounges'}]",3.5,"{'latitude': 40.7690573396768, 'longitude': -73.9128569886088}","['pickup', 'delivery']",$$,"{'address1': '37-02 Astoria Blvd', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11103', 'country': 'US', 'state': 'NY', 'display_address': ['37-02 Astoria Blvd', 'Astoria, NY 11103']}",,,3308.7381885633577,"came to see YERSTERRRRRR spinning. 
This business is definitely open. 
Great music & great drinks!
SUNDAY FUNDAY",I called before heading here with my girls. We purchased a Groupon deal and called ahead of time. The new owner said that the deal was from a previous owner...,"The bouncers seem to create chaos and drama rather than resolve it. After getting assaulted by someone outside of the venue, my glasses fell and I couldn't..."
8,IIcKE40roY_GYSMS7Io4Nw,bushwick-country-club-brooklyn,Bushwick Country Club,https://s3-media1.fl.yelpcdn.com/bphoto/mOhzFrj2KyyQ0I3li6NbOA/o.jpg,False,https://www.yelp.com/biz/bushwick-country-club-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,172,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mini_golf', 'title': 'Mini Golf'}]",4.0,"{'latitude': 40.711063, 'longitude': -73.947418}",[],$,"{'address1': '618 Grand St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['618 Grand St', 'Brooklyn, NY 11211']}",+17183882114,(718) 388-2114,3904.0076882463,Great dive bar. Awesome bartender John holding down the fort. One man show and he did an incredible job. Came here for my friend's 31st birthday and we had...,I think I've been meaning to come here for the better part of a decade. Shows how long this place and myself have stuck around. But I never really had an...,"What a fun, cheap mess! The ""Country Club"" part is definitely ironic.

My friend dragged me to Bushwick Country Club on a Sunday night during my visit to..."
9,gNA_ZxAd5xvBuqc0AIfheA,the-dancer-new-york,The Dancer,https://s3-media2.fl.yelpcdn.com/bphoto/mHHBzlZCWWJcis6t_r-QwA/o.jpg,False,https://www.yelp.com/biz/the-dancer-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,9,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 40.714, 'longitude': -73.98705}",[],,"{'address1': '202 Clinton St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['202 Clinton St', 'New York, NY 10002']}",+16468761174,(646) 876-1174,5496.592865058975,One of the most difficult things in NY is finding a place in the city that is cool but isn't overcrowded with people...especially annoying people.  I read...,"As a guy in his mid-30s who used to be cool (and still think's he's sort-of cool, but hates most bar goers in Lower East Side), I appreciate The Dancer...","What a great place for liquor, and a nice craft cocktail. Service is excellent and affordable prices make this a great neighborhood bar ! This place is..."
