,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3
0,L0jQHJGYbhKJy7Rh1ns8sw,goldies-brooklyn,Goldie's,https://s3-media1.fl.yelpcdn.com/bphoto/qpgxYaOXMNwR4JcdFx9uGA/o.jpg,False,https://www.yelp.com/biz/goldies-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,49,"[{'alias': 'bars', 'title': 'Bars'}]",3.5,"{'latitude': 40.7256691635571, 'longitude': -73.9451066666664}",[],$,"{'address1': '195 Nassau Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['195 Nassau Ave', 'Brooklyn, NY 11222']}",+17183892348,(718) 389-2348,2585.7867481589337,"Beautiful interiors, friendly bar staff, tasty beverages, great location. A friend of ours lives in Greenpoint and upon our visit we were told to check this...","Came here late night after a wrap party, and we just wanted to keep the evening going. So I hopped in an Uber with some friends and ended up at...","Great decor, like you're on the set of The Deuce or something. Decent beers, good crowd, and a backyard!"
1,3rmbLLPPNjiPpnz0jtfj1Q,norwinds-brooklyn,Norwind's,https://s3-media2.fl.yelpcdn.com/bphoto/Sy30jZvnbMXaqYAlhqnJZA/o.jpg,False,https://www.yelp.com/biz/norwinds-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,77,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 40.7041918, 'longitude': -73.9305843}","['delivery', 'pickup']",$$,"{'address1': '1043 Flushing Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1043 Flushing Ave', 'Brooklyn, NY 11237']}",+17184171450,(718) 417-1450,1017.8562490744356,Came in for lunch on a Wednesday with my boyfriend for lunch and the food was amazing ! Garlic Parmesan  wings are to die for the sauce is what  makes them...,"Came here after a party for some food & drinks, because no one wanted to go home! Lol the restaurant inside part is very small, but the outdoor area is...","My review is based on delivery-- I've never sat at this restaurant .

Wow! Placed an order via Uber Eats - delivery arrived on time. Pork mofongo was the..."
2,Mf6txI5sAs9K7BE24Uazgw,house-of-wax-brooklyn-3,House Of Wax,https://s3-media4.fl.yelpcdn.com/bphoto/X3S3Vz8tkqKr9FjMaz2IWg/o.jpg,False,https://www.yelp.com/biz/house-of-wax-brooklyn-3?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,94,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'museums', 'title': 'Museums'}]",4.0,"{'latitude': 40.690878, 'longitude': -73.982865}",[],$$,"{'address1': '445 Albee Square W', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['445 Albee Square W', 'Brooklyn, NY 11201']}",+19293825403,(929) 382-5403,3643.98130997209,Love stopping in here for a nice cocktail or expanded draft list when I'm at Alamo Drafthouse for a movie. Not only are the cocktails delicious but the wax...,Very *interesting* place to grab a drink with your date especially if y'all are getting to know each other. If wax figures of women giving birth don't break...,"After a team outing at Barclays on a Friday night (Feb), my group (15 people) went to the dekalb food hall for dinner and needed a place after for drinks...."
3,yqKFrzZ7nQVCXb4jb6C7ag,le-cheboigon-brooklyn,Le Cheboigon,https://s3-media1.fl.yelpcdn.com/bphoto/N7TYzD3WalKzAeqTlx5zOg/o.jpg,False,https://www.yelp.com/biz/le-cheboigon-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,1,"[{'alias': 'bars', 'title': 'Bars'}]",5.0,"{'latitude': 40.7207808642031, 'longitude': -73.9552929755378}",[],$$,"{'address1': '166 N 12th St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['166 N 12th St', 'Brooklyn, NY 11249']}",,,2302.7547668327757,Don't miss doot doot it's the best no bar like it you seem em wearing their baggies abkailute D-lite with cream on top. I saw Thotiana there once!,No Review,No Review
4,azzY-Z_inGaS3ymEh50vwA,the-whiskey-annex-brooklyn,The Whiskey Annex,https://s3-media2.fl.yelpcdn.com/bphoto/ka2LW_WynR-gDBHICCn5YA/o.jpg,False,https://www.yelp.com/biz/the-whiskey-annex-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,9,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 40.721141, 'longitude': -73.956733}",[],$$,"{'address1': '44 Berry St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['44 Berry St', 'Brooklyn, NY 11249']}",+17183878444,(718) 387-8444,2396.7754456799134,"Stopped here on a night of bar visits.  
Started out great.  Loved the design and setup of the bar.  
Very clean and nice. 

The drinks were a bit on the...","This bar was loud and popular, and clearly to some people's taste.  But the pours of whiskey were on the small side, the noise too loud to hear ourselves...","This place is great... I've been here a few times with some friends and the staff is excellent, warm and welcoming. I just went about a week or two ago and..."
5,j_cpaoMtVJ26i6YPUB04EA,clinton-hall-and-rooftop-beer-garden-brooklyn,Clinton Hall & Rooftop Beer Garden,https://s3-media4.fl.yelpcdn.com/bphoto/Q_CHEnTn7bmkcCLhx91nNQ/o.jpg,False,https://www.yelp.com/biz/clinton-hall-and-rooftop-beer-garden-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,152,"[{'alias': 'beergardens', 'title': 'Beer Gardens'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"{'latitude': 40.71502, 'longitude': -73.95903}","['delivery', 'pickup']",$$,"{'address1': '247 Metropolitan Ave', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['247 Metropolitan Ave', 'Brooklyn, NY 11211']}",+19294196988,(929) 419-6988,1991.5070626624472,Came on a cold Friday night to meet up with some friends. They have an extensive drink menu with great bar food as well as board games. Lively atmosphere...,"Such a nice place! Ordered a chicken burger really good.
The environment is nice and very creative plates",Was shopping on Bedford and this was one of the closest options for beer & wings so decided to give it a try. Was a little surprised that this was...
6,gZgIkAISb2goFOXPkvaHXg,planet-x-queens-2,Planet X,https://s3-media3.fl.yelpcdn.com/bphoto/QagO1BQ1FsaXSvZtoFegxQ/o.jpg,False,https://www.yelp.com/biz/planet-x-queens-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,3,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,"{'latitude': 40.7015217309, 'longitude': -73.9052954538}",[],,"{'address1': '801 Seneca Ave', 'address2': None, 'address3': '', 'city': 'Queens', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['801 Seneca Ave', 'Queens, NY 11385']}",,,3134.075851412788,"Pro: $7 pina coladas that are super yummy and mean BUSINESS! Pretty lighting. Friendly bartenders.

Cons: My main reason for leaving this review is that...",New bar from the owners of birdy's in Ridgewood. Ridiculously cheap drink specials and happy hour. I feel like I will be spending way too much time here in...,"Just another bar with a vague theme. Drinks and atmosphere is nothing special. I guess it might be OK if you live right next door for convenience, but I..."
7,mwZvC4kXYcFh8-dMF5D-mA,sunshine-laundromat-and-pinball-brooklyn,Sunshine Laundromat & Pinball,https://s3-media4.fl.yelpcdn.com/bphoto/hFswIhjkQivekBy4Trp0GQ/o.jpg,False,https://www.yelp.com/biz/sunshine-laundromat-and-pinball-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,114,"[{'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'laundromat', 'title': 'Laundromat'}]",4.5,"{'latitude': 40.7293128967285, 'longitude': -73.9535903930664}",[],$$,"{'address1': '860 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['860 Manhattan Ave', 'Brooklyn, NY 11222']}",+17184752055,(718) 475-2055,3124.747499490742,"Laundry attendants are always polite, and they do a great job too! A lot of wash and fold services shrink your stuff, but these people are great! 

I also...",I like quirky stuff and I love pinball so Sunshine Laundromat & Pinball easily earns 4 stars in my book. Upon arrival I was a little disappointed that the...,"I found this place on Yelp, and when I was the photos, I knew I had to make a visit to this place! 

This place is a laundromat on the front side and a..."
8,DfGVOGrlTQtkx2zdNM-Zbw,mr-purple-new-york,Mr. Purple,https://s3-media1.fl.yelpcdn.com/bphoto/SpfGqgrJtoQTWABJuJPYlw/o.jpg,False,https://www.yelp.com/biz/mr-purple-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,665,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.0,"{'latitude': 40.72175, 'longitude': -73.98802}",[],$$$,"{'address1': '180 Orchard St', 'address2': '', 'address3': 'Hotel Indigo', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['180 Orchard St', 'Hotel Indigo', 'New York, NY 10002']}",+12122371790,(212) 237-1790,4403.943845895176,Wonderful time with a group of friends in the roof terrace bar early evening. Very comfortable seating at our sofa-chair table area. Fabulous wine and truly...,"great spot to hangout with your friends 
even the elevator light was purple 
chill hangout spot and there are games like a pool table 
dark, ambient, and...",Security is always on edge. They refuse to help with finding my reservation. They got mad at my brother because he didn't know what side of his wrist to...
9,FWpxFElwWgWbwrSTXDWZZw,the-gibson-brooklyn,The Gibson,https://s3-media4.fl.yelpcdn.com/bphoto/qK9G63v86HtXrnKDPH5O7A/o.jpg,False,https://www.yelp.com/biz/the-gibson-brooklyn?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,94,"[{'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.720268, 'longitude': -73.955467}",[],$$,"{'address1': '108 Bedford Ave', 'address2': '', 'address3': 'Corner of N. 11th Street', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['108 Bedford Ave', 'Corner of N. 11th Street', 'Brooklyn, NY 11211']}",+17183876296,(718) 387-6296,2259.253483575084,"Had a great time here. The bar itself is on Bedford, so very easy to find. If you're looking for good beer, and excellent collection of whiskey, nice...","Ugh, gross. For the love of God, don't come here. I love a good dive, but this ain't it. From the outside looking in, we thought it would be a decent place...","Great dive-ish bar vibe with great service! We wondered in after shopping Williamsburg for a couple happy hour beverages.

The bartender was friendly and..."
