OBJECTID,ZIPCODE,PO_NAME,POPULATION,AREA,COUNTY,CountBusinesses,Shape_Length,Shape_Area
24,10031,New York,57010.000000000000000,16902152.365909900516272,New York,1,23227.666611686738179,16902152.407872423529625
25,10039,New York,24234.000000000000000,8419027.884606679901481,New York,2,15005.378821877256996,8419028.177110638469458
26,10473,Bronx,58284.000000000000000,59522354.540276497602463,Bronx,1,46333.348246940513491,59522354.402463503181934
27,10030,New York,26720.000000000000000,7757661.454930299893022,New York,4,11274.113540876114712,7757661.404838586226106
28,10027,New York,58639.000000000000000,24695278.504290200769901,New York,2,31598.159036576886137,24695277.706642713397741
29,10024,New York,58521.000000000000000,22877335.463918101042509,New York,2,40063.669889265067468,22877335.085776992142200
30,10454,Bronx,37466.000000000000000,31063613.325307998806238,Bronx,1,25984.030204116894311,31063612.949519257992506
31,10026,New York,34313.000000000000000,11092681.488474600017071,New York,5,15644.925328544224612,11092682.638248741626740
32,10035,New York,34884.000000000000000,15445657.334081299602985,New York,2,17087.400689529265946,15445656.897963751107454
33,10025,New York,96054.000000000000000,19631043.822525899857283,New York,1,20734.090632421313785,19631043.714550625532866
34,11357,Whitestone,38944.000000000000000,77359110.609144195914268,Queens,1,44132.673699003367801,77359111.000687494874001
35,10029,New York,77503.000000000000000,22963435.676966100931168,New York,4,19646.789387912900565,22963435.789773803204298
36,11105,Astoria,36906.000000000000000,48795608.079934097826481,Queens,10,36787.573282534358441,48795608.428320594131947
37,10128,New York,55748.000000000000000,11011681.556822599843144,New York,2,15005.097086869549457,11011681.385224761441350
38,10023,New York,62800.000000000000000,15212712.678159300237894,New York,3,22471.384854249743512,15212712.717996308580041
39,10028,New York,47530.000000000000000,9842046.479699999094009,New York,1,18177.331979034002870,9842046.274034796282649
40,11354,Flushing,58525.000000000000000,61985147.450804501771927,Queens,1,44428.745769605651731,61985146.922092199325562
41,11369,East Elmhurst,38116.000000000000000,30060493.246374201029539,Queens,2,25542.205673146869231,30060493.295156124979258
42,11103,Astoria,38234.000000000000000,20222394.625525899231434,Queens,8,21848.957561280833033,20222395.436409752815962
43,11106,Astoria,38665.000000000000000,23866112.725468799471855,Queens,3,22168.704631678298028,23866112.046079728752375
44,11377,Woodside,90852.000000000000000,71832387.494480192661285,Queens,2,46886.718148859166831,71832386.996997177600861
45,11101,Long Island City,26254.000000000000000,78962088.741757005453110,Queens,9,56259.297071039662114,78962089.221429422497749
46,10018,New York,5503.000000000000000,10705796.479170100763440,New York,17,19509.952909612100484,10705797.488578876480460
47,10017,New York,15918.000000000000000,9794383.239993520081043,New York,2,14308.645203961454172,9794383.484843324869871
48,10001,New York,22413.000000000000000,17794940.772708900272846,New York,15,19254.441913766560901,17794940.163649518042803
49,10011,New York,50594.000000000000000,18118416.846326798200607,New York,19,24714.120344851919072,18118416.646739359945059
50,10016,New York,54606.000000000000000,15042403.037791499868035,New York,11,18193.346114860039961,15042402.988156855106354
51,11104,Sunnyside,27127.000000000000000,12084432.116084400564432,Queens,2,21699.289771993971954,12084431.998138519003987
52,10010,New York,29881.000000000000000,9768395.569945279508829,New York,7,23512.593397911095963,9768395.735811837017536
53,10014,New York,31328.000000000000000,14151052.030417200177908,New York,11,20454.071799878838647,14151052.321504268795252
54,10003,New York,55878.000000000000000,15538376.269666299223900,New York,17,17396.138477545235219,15538376.115341495722532
55,11222,Brooklyn,36315.000000000000000,42825293.236702002584934,Kings,21,32110.577364535511151,42825293.261784508824348
56,10002,New York,81305.000000000000000,26280128.543888501822948,New York,33,36484.415766330814222,26280128.590631771832705
57,11378,Maspeth,35473.000000000000000,66260538.743352897465229,Queens,3,42986.818522254601703,66260538.665526829659939
58,10009,New York,61455.000000000000000,15903519.301228400319815,New York,33,16247.124894724973274,15903519.111451875418425
59,10012,New York,24276.000000000000000,9193738.999551640823483,New York,18,12422.987846083180557,9193739.148240797221661
60,10013,New York,27985.000000000000000,15580578.833580400794744,New York,9,19248.014283057844295,15580578.721323607489467
61,11237,Brooklyn,49335.000000000000000,27425868.171313300728798,Kings,29,30811.451061725474574,27425868.856036216020584
62,11385,Ridgewood,98436.000000000000000,124786310.907857000827789,Queens,11,67849.797493318284978,124786311.255261808633804
63,10038,New York,19127.000000000000000,7022760.643026039935648,New York,3,12605.260560799528321,7022760.791786728426814
64,11206,Brooklyn,83575.000000000000000,40700720.972729101777077,Kings,14,29319.528989971924602,40700720.858115404844284
65,10006,New York,3011.000000000000000,1716640.920122389914468,New York,4,6794.872670249991643,1716641.019232085207477
66,10005,New York,8107.000000000000000,2082901.140735049964860,New York,2,6384.011521395113959,2082901.095158086623996
67,10004,New York,2187.000000000000000,4002521.097028700169176,New York,2,13769.930281219738390,4002521.128778521437198
68,11201,Brooklyn,53041.000000000000000,41094886.765736497938633,Kings,14,41924.187299105869897,41094886.962255157530308
69,10004,New York,2187.000000000000000,1202707.707448390079662,New York,2,6450.071666075413304,1202707.737890371819958
70,11205,Brooklyn,41125.000000000000000,23270147.949762299656868,Kings,2,22622.372833556932164,23270148.534138299524784
71,11207,Brooklyn,93556.000000000000000,73966260.541060999035835,Kings,7,49183.573247019157861,73966261.323946937918663
72,10004,New York,2187.000000000000000,7679615.511007649824023,New York,2,12620.306907909789516,7679615.576146176084876
73,10004,New York,2187.000000000000000,670708.019996559945866,New York,2,3246.237339021213302,670708.028551366180182
74,11217,Brooklyn,36615.000000000000000,21648157.796037301421165,Kings,11,22010.964519453049434,21648158.108916081488132
75,11238,Brooklyn,46664.000000000000000,29429423.461479399353266,Kings,16,26935.195391197496065,29429422.936772286891937
76,11231,Brooklyn,33144.000000000000000,39379691.794063702225685,Kings,7,45956.525665798762930,39379691.546473503112793
77,11420,South Ozone Park,44538.000000000000000,61879568.372777096927166,Queens,2,33734.960592217612430,61879568.566556043922901
78,11417,Ozone Park,28562.000000000000000,31099087.107908099889755,Queens,1,26925.007416711490805,31099086.437519960105419
79,11215,Brooklyn,63272.000000000000000,61922821.746163800358772,Kings,16,37186.630040695141361,61922821.653142094612122
80,11231,Brooklyn,33144.000000000000000,701979.385311939986423,Kings,7,5642.368751564178638,701979.351896684383973
81,11232,Brooklyn,29521.000000000000000,55879065.150269798934460,Kings,4,64230.998346642161778,55879065.189665913581848
